a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100924E+03  -0.180427E+01   0.104728E+01  -0.927396E+01   0.230855E-03   0.149246E-03   0.336697E-05   0.150197E+03   0.000000E+00   0.000000E+00   0.150197E+03  -0.300394E+03
   0.100924E+03  -0.180427E+01   0.104728E+01  -0.927396E+01   0.230855E-03   0.149246E-03   0.336697E-05   0.150197E+03   0.000000E+00   0.000000E+00   0.150197E+03  -0.300394E+03
   0.100577E+03  -0.180427E+01  -0.125653E+02  -0.772981E+01   0.230855E-03   0.149246E-03   0.336697E-05   0.146936E+03   0.000000E+00   0.000000E+00   0.146936E+03  -0.293872E+03
   0.100577E+03  -0.180427E+01  -0.996009E+01  -0.769285E+01   0.700389E-03   0.149246E-03   0.336697E-05   0.147152E+03   0.000000E+00   0.000000E+00   0.147152E+03  -0.294304E+03
   0.100577E+03   0.265838E+01  -0.865633E+01  -0.700421E+01   0.700389E-03   0.149246E-03   0.336697E-05   0.146779E+03   0.000000E+00   0.000000E+00   0.146779E+03  -0.293558E+03
   0.100577E+03   0.265838E+01   0.641229E+01   0.840328E+01   0.700389E-03   0.149246E-03   0.336697E-05   0.147125E+03   0.000000E+00   0.000000E+00   0.147125E+03  -0.294250E+03
   0.100577E+03   0.499375E+01   0.641229E+01   0.710119E+01   0.700389E-03   0.149246E-03   0.336697E-05   0.147191E+03   0.000000E+00   0.000000E+00   0.147191E+03  -0.294382E+03
   0.100577E+03   0.499375E+01  -0.156734E+01   0.632623E+01   0.857274E-03   0.149246E-03   0.336697E-05   0.147706E+03   0.000000E+00   0.000000E+00   0.147706E+03  -0.295412E+03
   0.100577E+03   0.367105E-01  -0.156734E+01   0.632623E+01   0.857274E-03   0.149246E-03   0.336697E-05   0.147746E+03   0.000000E+00   0.000000E+00   0.147746E+03  -0.295492E+03
   0.100577E+03   0.367105E-01   0.510636E+01  -0.516732E+01   0.125322E-03   0.179781E-03   0.336697E-05   0.148656E+03   0.000000E+00   0.000000E+00   0.148656E+03  -0.297312E+03
   0.100577E+03   0.367105E-01  -0.809802E+01  -0.113922E+02   0.125322E-03   0.179781E-03   0.336697E-05   0.149198E+03   0.000000E+00   0.000000E+00   0.149198E+03  -0.298396E+03
   0.100577E+03   0.367105E-01   0.100013E+01  -0.416456E+00   0.125322E-03   0.179781E-03   0.336697E-05   0.150674E+03   0.000000E+00   0.000000E+00   0.150674E+03  -0.301348E+03
   0.100577E+03   0.107759E+01   0.587209E+01   0.357387E+01   0.367059E-03   0.179781E-03   0.336697E-05   0.148496E+03   0.000000E+00   0.000000E+00   0.148496E+03  -0.296992E+03
   0.100577E+03   0.503001E+01   0.430633E+01   0.105501E+02   0.367059E-03   0.179781E-03   0.336697E-05   0.148916E+03   0.000000E+00   0.000000E+00   0.148916E+03  -0.297832E+03
   0.100903E+03   0.503001E+01   0.430633E+01   0.111445E+02   0.314545E-03   0.179781E-03   0.336697E-05   0.149785E+03   0.000000E+00   0.000000E+00   0.149785E+03  -0.299570E+03
   0.100903E+03   0.596498E+01   0.430633E+01   0.124532E+02   0.314545E-03   0.150722E-03   0.336697E-05   0.149436E+03   0.000000E+00   0.000000E+00   0.149436E+03  -0.298872E+03
   0.100903E+03   0.651026E+01   0.430633E+01   0.507885E+01   0.314545E-03   0.150722E-03   0.336697E-05   0.148678E+03   0.000000E+00   0.000000E+00   0.148678E+03  -0.297356E+03
   0.100903E+03   0.651026E+01   0.430633E+01   0.507885E+01   0.314545E-03   0.934541E-03   0.336697E-05   0.144778E+03   0.000000E+00   0.000000E+00   0.144778E+03  -0.289556E+03
   0.100537E+03   0.636441E+01   0.771742E+01   0.566060E+01   0.314545E-03   0.124512E-02   0.336697E-05   0.142490E+03   0.000000E+00   0.000000E+00   0.142490E+03  -0.284980E+03
   0.101033E+03   0.990224E+00   0.737972E+00   0.147467E+02   0.314545E-03   0.124512E-02   0.336697E-05   0.143519E+03   0.000000E+00   0.000000E+00   0.143519E+03  -0.287038E+03
   0.101272E+03   0.990224E+00   0.263785E+01   0.147467E+02   0.314545E-03   0.124512E-02   0.336697E-05   0.143645E+03   0.000000E+00   0.000000E+00   0.143645E+03  -0.287290E+03
   0.101272E+03   0.990224E+00   0.263785E+01   0.135401E+02   0.314545E-03   0.124512E-02   0.336697E-05   0.143958E+03   0.000000E+00   0.000000E+00   0.143958E+03  -0.287916E+03
   0.101272E+03  -0.394845E-01   0.364746E+01   0.139476E+02   0.314545E-03   0.142184E-02   0.336697E-05   0.142579E+03   0.000000E+00   0.000000E+00   0.142579E+03  -0.285158E+03
   0.101272E+03  -0.394845E-01   0.324357E+01   0.629098E+01   0.314545E-03   0.150422E-02   0.336697E-05   0.143791E+03   0.000000E+00   0.000000E+00   0.143791E+03  -0.287582E+03
   0.101272E+03   0.321906E+00   0.324357E+01   0.629098E+01   0.314545E-03   0.150422E-02   0.336697E-05   0.143874E+03   0.000000E+00   0.000000E+00   0.143874E+03  -0.287748E+03
   0.101272E+03   0.321906E+00   0.324357E+01   0.629098E+01   0.314545E-03   0.131237E-02   0.336697E-05   0.144738E+03   0.000000E+00   0.000000E+00   0.144738E+03  -0.289476E+03
   0.100275E+03   0.203752E+01   0.324357E+01  -0.224464E+01   0.314545E-03   0.238474E-03   0.336697E-05   0.148623E+03   0.000000E+00   0.000000E+00   0.148623E+03  -0.297246E+03
   0.100275E+03   0.529727E+01   0.573202E+01   0.280287E+01   0.314545E-03   0.238474E-03   0.336697E-05   0.146646E+03   0.000000E+00   0.000000E+00   0.146646E+03  -0.293292E+03
   0.100275E+03   0.207728E+01   0.109986E+01   0.129142E+02   0.667136E-03   0.238474E-03   0.336697E-05   0.146431E+03   0.000000E+00   0.000000E+00   0.146431E+03  -0.292862E+03
   0.101623E+03   0.253097E+01  -0.132545E+01   0.165868E+02   0.667136E-03   0.238474E-03   0.336697E-05   0.146267E+03   0.000000E+00   0.000000E+00   0.146267E+03  -0.292534E+03
   0.101419E+03   0.253097E+01   0.313796E-01   0.163704E+02   0.667136E-03   0.238474E-03   0.336697E-05   0.146900E+03   0.000000E+00   0.000000E+00   0.146900E+03  -0.293800E+03
   0.101419E+03   0.233831E+01  -0.489283E+01   0.130710E+00   0.132464E-03   0.238474E-03   0.456554E-03   0.148713E+03   0.000000E+00   0.000000E+00   0.148713E+03  -0.297426E+03
   0.101419E+03   0.233831E+01   0.182915E+00   0.130710E+00   0.132464E-03   0.238474E-03   0.456554E-03   0.149485E+03   0.000000E+00   0.000000E+00   0.149485E+03  -0.298970E+03
   0.101419E+03  -0.476731E+00  -0.924666E+01  -0.289186E+01   0.132464E-03   0.238474E-03   0.456554E-03   0.147358E+03   0.000000E+00   0.000000E+00   0.147358E+03  -0.294716E+03
   0.101419E+03  -0.327597E+01  -0.201888E+01  -0.289186E+01   0.132464E-03   0.238474E-03   0.456554E-03   0.147028E+03   0.000000E+00   0.000000E+00   0.147028E+03  -0.294056E+03
   0.101419E+03  -0.327597E+01  -0.201888E+01  -0.289186E+01   0.132464E-03   0.238474E-03   0.456554E-03   0.147028E+03   0.000000E+00   0.000000E+00   0.147028E+03  -0.294056E+03
   0.101419E+03  -0.327597E+01  -0.201888E+01  -0.624075E+01   0.132464E-03   0.140942E-03   0.456554E-03   0.147781E+03   0.000000E+00   0.000000E+00   0.147781E+03  -0.295562E+03
   0.101419E+03   0.602774E+01   0.668403E+01   0.591316E+01   0.132464E-03   0.140942E-03   0.456554E-03   0.148620E+03   0.000000E+00   0.000000E+00   0.148620E+03  -0.297240E+03
   0.101419E+03   0.602774E+01   0.668403E+01   0.138393E+02   0.132464E-03   0.140942E-03   0.456554E-03   0.148395E+03   0.000000E+00   0.000000E+00   0.148395E+03  -0.296790E+03
   0.101419E+03   0.602774E+01  -0.284172E+00   0.138393E+02   0.132464E-03   0.140942E-03   0.456554E-03   0.148519E+03   0.000000E+00   0.000000E+00   0.148519E+03  -0.297038E+03
   0.101419E+03   0.586329E+01   0.816245E+01   0.998705E+01   0.132464E-03   0.140942E-03   0.456554E-03   0.148276E+03   0.000000E+00   0.000000E+00   0.148276E+03  -0.296552E+03
   0.101419E+03   0.375441E+01   0.816245E+01   0.897796E+01   0.415729E-04   0.140942E-03   0.279812E-03   0.149269E+03   0.000000E+00   0.000000E+00   0.149269E+03  -0.298538E+03
   0.101419E+03   0.375441E+01   0.816245E+01   0.897796E+01   0.415729E-04   0.140942E-03   0.279812E-03   0.149269E+03   0.000000E+00   0.000000E+00   0.149269E+03  -0.298538E+03
   0.101419E+03   0.375441E+01  -0.487910E+00   0.637021E+01   0.415729E-04   0.140942E-03   0.279812E-03   0.150379E+03   0.000000E+00   0.000000E+00   0.150379E+03  -0.300758E+03
   0.101776E+03   0.375441E+01   0.990367E+01   0.637021E+01   0.415729E-04   0.140942E-03   0.279812E-03   0.149137E+03   0.000000E+00   0.000000E+00   0.149137E+03  -0.298274E+03
   0.101776E+03   0.378233E+01   0.990367E+01   0.637021E+01   0.415729E-04   0.140942E-03   0.279812E-03   0.149139E+03   0.000000E+00   0.000000E+00   0.149139E+03  -0.298278E+03
