a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.101179E+03  0.249530E+01  0.666851E+01  0.367474E+01  0.299175E-04  0.413780E-03  0.213162E-03  0.149162E+03
  0.101179E+03  0.258510E+01  0.666851E+01  0.367474E+01  0.299175E-04  0.413780E-03  0.213162E-03  0.149163E+03
  0.101179E+03  0.258510E+01  0.453554E+01 -0.885072E+00  0.299175E-04  0.413780E-03  0.213162E-03  0.149398E+03
  0.101251E+03 -0.204679E+01  0.472696E+01 -0.885072E+00  0.299175E-04  0.413780E-03  0.213162E-03  0.148458E+03
  0.101251E+03 -0.204679E+01 -0.237593E+01 -0.885072E+00  0.299175E-04  0.413780E-03  0.213162E-03  0.148689E+03
  0.101251E+03 -0.204679E+01  0.257602E+01 -0.101066E+02  0.299175E-04  0.413780E-03  0.213162E-03  0.149068E+03
  0.101251E+03 -0.204679E+01 -0.109031E+02 -0.985512E+01  0.299175E-04  0.413780E-03  0.213162E-03  0.147349E+03
  0.101251E+03 -0.204679E+01 -0.556428E+01 -0.142667E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.148832E+03
  0.101251E+03 -0.204679E+01 -0.100671E+02 -0.173916E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.147318E+03
  0.101251E+03 -0.204679E+01 -0.112776E+02 -0.173916E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.146869E+03
  0.101251E+03 -0.204679E+01  0.180574E+00 -0.173916E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.148021E+03
  0.101251E+03 -0.668460E+00 -0.105176E+02 -0.173916E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.147216E+03
  0.101251E+03 -0.668460E+00 -0.105176E+02 -0.169569E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.147304E+03
  0.101251E+03 -0.668460E+00 -0.105176E+02 -0.169569E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.147304E+03
  0.101251E+03 -0.668460E+00  0.126088E+00 -0.873165E+01  0.299175E-04  0.413780E-03  0.210535E-03  0.149677E+03
  0.101251E+03 -0.668460E+00 -0.781503E+01 -0.873165E+01  0.299175E-04  0.413780E-03  0.210535E-03  0.148687E+03
  0.101251E+03 -0.600564E+00 -0.404504E+01 -0.873165E+01  0.299175E-04  0.413780E-03  0.210535E-03  0.149503E+03
  0.101251E+03 -0.209914E+01 -0.404504E+01 -0.624100E+01  0.299175E-04  0.413780E-03  0.210535E-03  0.149110E+03
  0.101251E+03 -0.209914E+01 -0.422162E+01 -0.982506E+01  0.299175E-04  0.413780E-03  0.210535E-03  0.149246E+03
  0.101251E+03 -0.238875E+01  0.195308E+01 -0.105090E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.149079E+03
  0.101251E+03 -0.238875E+01  0.505752E+01 -0.426748E+01  0.299175E-04  0.413780E-03  0.210535E-03  0.148498E+03
  0.101251E+03 -0.238875E+01  0.505752E+01 -0.721489E+01  0.299175E-04  0.413780E-03  0.210535E-03  0.148532E+03
  0.101871E+03 -0.238875E+01  0.505752E+01 -0.171957E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.147545E+03
  0.101871E+03 -0.238875E+01 -0.144188E+01 -0.171957E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.148701E+03
  0.101871E+03 -0.238875E+01 -0.144188E+01 -0.179287E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.148589E+03
  0.101871E+03 -0.173007E+01 -0.144188E+01 -0.173466E+02  0.299175E-04  0.413780E-03  0.210535E-03  0.148578E+03
  0.101871E+03 -0.173007E+01 -0.144188E+01 -0.127869E+02  0.299175E-04  0.413780E-03  0.365989E-03  0.148394E+03
