a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100318E+03   0.184374E+01   0.607238E-03   0.134928E-03   0.634597E-03   0.116051E-02   0.476789E-03   0.137415E-02   0.744558E-03   0.396173E-03   0.577016E-03   0.210001E+03   0.000000E+00   0.000000E+00   0.210001E+03  -0.420002E+03
   0.100318E+03   0.401708E+01   0.607238E-03   0.134928E-03   0.634597E-03   0.116051E-02   0.476789E-03   0.137415E-02   0.744558E-03   0.396173E-03   0.577016E-03   0.209684E+03   0.000000E+00   0.000000E+00   0.209684E+03  -0.419368E+03
   0.100271E+03   0.283305E+01   0.607238E-03   0.134928E-03   0.634597E-03   0.720947E-03   0.476789E-03   0.137415E-02   0.744558E-03   0.396173E-03   0.577016E-03   0.210576E+03   0.000000E+00   0.000000E+00   0.210576E+03  -0.421152E+03
   0.100271E+03   0.283305E+01   0.155165E-03   0.523625E-03   0.634597E-03   0.720947E-03   0.476789E-03   0.137415E-02   0.744558E-03   0.396173E-03   0.577016E-03   0.210679E+03   0.000000E+00   0.000000E+00   0.210679E+03  -0.421358E+03
   0.100271E+03   0.274209E+01   0.417755E-03   0.155538E-03   0.634597E-03   0.720947E-03   0.476789E-03   0.137415E-02   0.820358E-03   0.396173E-03   0.577016E-03   0.210701E+03   0.000000E+00   0.000000E+00   0.210701E+03  -0.421402E+03
   0.100271E+03   0.274209E+01   0.417755E-03   0.155538E-03   0.634597E-03   0.720947E-03   0.141908E-03   0.137415E-02   0.820358E-03   0.396173E-03   0.577016E-03   0.210428E+03   0.000000E+00   0.000000E+00   0.210428E+03  -0.420856E+03
   0.100271E+03   0.327959E+01   0.417755E-03   0.155538E-03   0.634597E-03   0.495251E-02   0.141908E-03   0.137415E-02   0.820358E-03   0.396173E-03   0.577016E-03   0.205043E+03   0.000000E+00   0.000000E+00   0.205043E+03  -0.410086E+03
   0.100271E+03   0.473854E+01   0.417755E-03   0.155538E-03   0.634597E-03   0.495251E-02   0.398956E-02   0.137415E-02   0.820358E-03   0.396173E-03   0.577016E-03   0.199414E+03   0.000000E+00   0.000000E+00   0.199414E+03  -0.398828E+03
   0.100271E+03   0.473854E+01   0.417755E-03   0.155538E-03   0.307146E-03   0.587928E-02   0.220501E-02   0.137415E-02   0.820358E-03   0.789846E-03   0.577016E-03   0.200588E+03   0.000000E+00   0.000000E+00   0.200588E+03  -0.401176E+03
   0.100271E+03   0.370521E+01   0.417755E-03   0.155538E-03   0.307146E-03   0.120338E-02   0.220501E-02   0.137415E-02   0.820358E-03   0.789846E-03   0.168992E-03   0.206171E+03   0.000000E+00   0.000000E+00   0.206171E+03  -0.412342E+03
   0.100459E+03   0.286588E+01   0.417755E-03   0.155538E-03   0.676246E-03   0.120338E-02   0.203592E-02   0.137415E-02   0.820358E-03   0.789846E-03   0.168992E-03   0.206518E+03   0.000000E+00   0.000000E+00   0.206518E+03  -0.413036E+03
