"P0" "P1" "P2" "P3" "P4"
1 -0.335514622717725 -0.331144906913874 0.408849679325324 0.00830234984798231
1 -0.325416060752949 -0.34115658110605 0.401973758374423 0.026952181121078
1 -0.315317498788173 -0.350862312436956 0.394600043819874 0.0454042113594917
1 -0.305218936823396 -0.360262100906593 0.386743983576387 0.0636237975723927
1 -0.29512037485862 -0.369355946514961 0.378421025558673 0.0815773887810176
1 -0.285021812893844 -0.37814384926206 0.369646617681444 0.09923252601867
1 -0.274923250929068 -0.386625809147889 0.36043620785941 0.116557842330722
1 -0.264824688964291 -0.394801826172449 0.350805244007283 0.133523062774613
1 -0.254726126999515 -0.40267190033574 0.340769174039773 0.150099004419849
1 -0.244627565034739 -0.410236031637762 0.330343445871593 0.166257576348004
1 -0.234529003069963 -0.417494220078514 0.319543507417451 0.181971779652721
1 -0.224430441105187 -0.424446465657997 0.308384806592061 0.197215707439709
1 -0.21433187914041 -0.431092768376211 0.296882791310132 0.211964544826744
1 -0.204233317175634 -0.437433128233155 0.285052909486376 0.226194568943672
1 -0.194134755210858 -0.44346754522883 0.272910609035504 0.239883148932404
1 -0.184036193246082 -0.449196019363236 0.260471337872227 0.25300874594692
1 -0.173937631281306 -0.454618550636373 0.247750543911255 0.265550913153267
1 -0.163839069316529 -0.45973513904824 0.234763675067301 0.277490295729559
1 -0.153740507351753 -0.464545784598838 0.221526179255075 0.28880863086598
1 -0.143641945386977 -0.469050487288167 0.208053504389288 0.299488747764779
1 -0.133543383422201 -0.473249247116227 0.194361098384651 0.309514567640272
1 -0.123444821457425 -0.477142064083017 0.180464409155875 0.318871103718846
1 -0.113346259492648 -0.480728938188538 0.166378884617671 0.327544461238953
1 -0.103247697527872 -0.48400986943279 0.152119972684751 0.335521837451111
1 -0.0931491355630959 -0.486984857815772 0.137703121271824 0.34279152161791
1 -0.0830505735983197 -0.489653903337485 0.123143778293604 0.349342895014005
1 -0.0729520116335434 -0.492017005997929 0.108457391664799 0.355166430926117
1 -0.0628534496687673 -0.494074165797104 0.0936594093001222 0.360253694653037
1 -0.0527548877039909 -0.495825382735009 0.0787652791142835 0.364597343505624
1 -0.0426563257392147 -0.497270656811645 0.0637904490219945 0.368191126806801
1 -0.0325577637744386 -0.498409988027012 0.0487503669379662 0.371029885891563
1 -0.0224592018096624 -0.499243376381109 0.0336604807769093 0.373109554106969
1 -0.0123606398448861 -0.499770821873938 0.0185362384535349 0.374427156812148
1 -0.00226207788010979 -0.499992324505496 0.00339308788255413 0.374980811378295
1 0.00783648408466631 -0.499907884275786 -0.0117535230213215 0.374769727188673
1 0.0179350460494425 -0.499517501184807 -0.0268881463433816 0.373794205638613
1 0.0280336080142187 -0.498821175232558 -0.0419953341689149 0.372055640135513
1 0.0381321699789949 -0.49781890641904 -0.0570596385832103 0.369556516098838
1 0.0482307319437711 -0.496510694744252 -0.0720656116715568 0.366300410960123
1 0.0583292939085474 -0.494896540208195 -0.0869978055192433 0.362291994162968
1 0.0684278558733236 -0.492976442810869 -0.101840772211559 0.357537027163041
