a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.983735E+02   0.236640E+01  -0.696276E+01   0.476155E+01  -0.459458E+01   0.168208E-02   0.496045E-04   0.958170E-03   0.546260E-03   0.231240E-02   0.218665E-03   0.113250E-02   0.434960E-03   0.194069E-03   0.203111E+03   0.000000E+00   0.000000E+00   0.203111E+03  -0.406222E+03
   0.983735E+02   0.236640E+01  -0.236491E+01   0.476155E+01  -0.135843E+02   0.168208E-02   0.496045E-04   0.107613E-02   0.546260E-03   0.231240E-02   0.218665E-03   0.113250E-02   0.434960E-03   0.313649E-04   0.203180E+03   0.000000E+00   0.000000E+00   0.203180E+03  -0.406360E+03
   0.983735E+02   0.418240E+00  -0.213025E+01  -0.336853E+01  -0.599817E+01   0.168208E-02   0.496045E-04   0.107613E-02   0.279290E-02   0.231240E-02   0.825924E-03   0.169718E-03   0.434960E-03   0.313649E-04   0.202133E+03   0.000000E+00   0.000000E+00   0.202133E+03  -0.404266E+03
   0.983735E+02   0.418240E+00  -0.213025E+01  -0.336853E+01  -0.118822E+02   0.168208E-02   0.496045E-04   0.772332E-03   0.278799E-02   0.231240E-02   0.825924E-03   0.169718E-03   0.180155E-03   0.313649E-04   0.203105E+03   0.000000E+00   0.000000E+00   0.203105E+03  -0.406210E+03
   0.983735E+02  -0.209897E+00  -0.213025E+01  -0.626560E+01  -0.198446E+01   0.234914E-02   0.496045E-04   0.772332E-03   0.278799E-02   0.231240E-02   0.818802E-03   0.169718E-03   0.180155E-03   0.313649E-04   0.201109E+03   0.000000E+00   0.000000E+00   0.201109E+03  -0.402218E+03
   0.978866E+02  -0.209897E+00  -0.213025E+01  -0.418650E+01   0.393426E+01   0.234914E-02   0.496045E-04   0.136828E-02   0.278799E-02   0.124582E-02   0.818802E-03   0.289071E-03   0.180155E-03   0.109576E-03   0.198740E+03   0.000000E+00   0.000000E+00   0.198740E+03  -0.397480E+03
   0.978866E+02   0.225424E+01  -0.758921E+00  -0.692200E+01  -0.562941E+01   0.129164E-03   0.496045E-04   0.158948E-02   0.278799E-02   0.124582E-02   0.818802E-03   0.289071E-03   0.180155E-03   0.109576E-03   0.200691E+03   0.000000E+00   0.000000E+00   0.200691E+03  -0.401382E+03
   0.100600E+03   0.225424E+01  -0.758921E+00   0.503063E+01  -0.127475E+02   0.980054E-03   0.496045E-04   0.333459E-02   0.274849E-02   0.124582E-02   0.818802E-03   0.289071E-03   0.180155E-03   0.144457E-03   0.201838E+03   0.000000E+00   0.000000E+00   0.201838E+03  -0.403676E+03
   0.100600E+03   0.225424E+01  -0.170371E+01  -0.102665E+01  -0.392760E+01   0.725848E-03   0.496045E-04   0.333459E-02   0.822171E-03   0.500256E-03   0.818802E-03   0.289071E-03   0.180155E-03   0.685395E-04   0.207264E+03   0.000000E+00   0.000000E+00   0.207264E+03  -0.414528E+03
   0.100600E+03   0.225424E+01   0.964574E+00  -0.931922E+01  -0.808088E+01   0.725848E-03   0.496045E-04   0.391109E-02   0.822171E-03   0.345159E-03   0.818802E-03   0.289071E-03   0.180155E-03   0.685395E-04   0.205333E+03   0.000000E+00   0.000000E+00   0.205333E+03  -0.410666E+03
   0.100600E+03   0.429702E+01   0.964574E+00   0.141189E+02  -0.808088E+01   0.548809E-03   0.376165E-03   0.254770E-02   0.199119E-02   0.345159E-03   0.818802E-03   0.104908E-02   0.180155E-03   0.685395E-04   0.203078E+03   0.000000E+00   0.000000E+00   0.203078E+03  -0.406156E+03
   0.100600E+03   0.605581E+01  -0.619807E+01   0.141189E+02   0.156528E+01   0.185372E-02   0.376165E-03   0.254770E-02   0.199119E-02   0.345159E-03   0.818802E-03   0.104908E-02   0.180155E-03   0.685395E-04   0.200035E+03   0.000000E+00   0.000000E+00   0.200035E+03  -0.400070E+03
   0.100600E+03   0.605581E+01  -0.123546E+02   0.175206E+02   0.293602E+01   0.185372E-02   0.958454E-04   0.254770E-02   0.916649E-03   0.166668E-02   0.147189E-02   0.219528E-03   0.180155E-03   0.685395E-04   0.199165E+03   0.000000E+00   0.000000E+00   0.199165E+03  -0.398330E+03
   0.100600E+03   0.605581E+01  -0.123546E+02   0.189115E+02   0.974766E+00   0.185372E-02   0.135192E-03   0.807057E-03   0.916649E-03   0.166668E-02   0.147189E-02   0.219528E-03   0.180155E-03   0.685395E-04   0.201037E+03   0.000000E+00   0.000000E+00   0.201037E+03  -0.402074E+03
   0.100600E+03   0.716648E+01  -0.633197E+01   0.761352E+01  -0.244957E+01   0.301991E-02   0.135192E-03   0.807057E-03   0.916649E-03   0.166668E-02   0.147189E-02   0.219528E-03   0.242864E-03   0.685395E-04   0.201156E+03   0.000000E+00   0.000000E+00   0.201156E+03  -0.402312E+03
   0.996258E+02   0.716648E+01  -0.633197E+01   0.761352E+01   0.746926E+00   0.154603E-02   0.135192E-03   0.807057E-03   0.916649E-03   0.166668E-02   0.123119E-02   0.219528E-03   0.242864E-03   0.290805E-03   0.204639E+03   0.000000E+00   0.000000E+00   0.204639E+03  -0.409278E+03
   0.996258E+02   0.716648E+01  -0.900706E+01   0.761352E+01  -0.114577E+02   0.101044E-02   0.830277E-04   0.807057E-03   0.916649E-03   0.166668E-02   0.123119E-02   0.219528E-03   0.242864E-03   0.290805E-03   0.204881E+03   0.000000E+00   0.000000E+00   0.204881E+03  -0.409762E+03
   0.996258E+02   0.437314E+01  -0.400896E+01  -0.374872E+01  -0.604941E+01   0.101044E-02   0.830277E-04   0.807057E-03   0.916649E-03   0.166668E-02   0.123119E-02   0.120917E-02   0.242864E-03   0.290805E-03   0.206398E+03   0.000000E+00   0.000000E+00   0.206398E+03  -0.412796E+03
   0.996258E+02   0.437314E+01  -0.400896E+01  -0.771755E+01  -0.427728E+01   0.101044E-02   0.830277E-04   0.807057E-03   0.916649E-03   0.147305E-02   0.123119E-02   0.120917E-02   0.242864E-03   0.290805E-03   0.206326E+03   0.000000E+00   0.000000E+00   0.206326E+03  -0.412652E+03
   0.996258E+02   0.989820E+00  -0.400896E+01   0.102088E+01  -0.427728E+01   0.101044E-02   0.830277E-04   0.807057E-03   0.916649E-03   0.493074E-03   0.123119E-02   0.237759E-03   0.242864E-03   0.290805E-03   0.210469E+03   0.000000E+00   0.000000E+00   0.210469E+03  -0.420938E+03
   0.101840E+03   0.989820E+00  -0.889781E+01  -0.106088E+02  -0.427728E+01   0.647715E-03   0.830277E-04   0.807057E-03   0.146781E-02   0.493074E-03   0.123119E-02   0.237759E-03   0.242864E-03   0.301985E-03   0.207173E+03   0.000000E+00   0.000000E+00   0.207173E+03  -0.414346E+03
   0.101840E+03   0.989820E+00  -0.738661E+01  -0.159288E+02   0.378410E+01   0.647715E-03   0.830277E-04   0.635322E-03   0.146781E-02   0.493074E-03   0.123119E-02   0.215011E-02   0.242864E-03   0.301985E-03   0.206287E+03   0.000000E+00   0.000000E+00   0.206287E+03  -0.412574E+03
   0.101840E+03   0.989820E+00  -0.234296E+01  -0.160743E+02   0.150817E+01   0.647715E-03   0.830277E-04   0.360782E-03   0.769934E-03   0.799762E-03   0.123119E-02   0.215011E-02   0.242864E-03   0.301985E-03   0.207991E+03   0.000000E+00   0.000000E+00   0.207991E+03  -0.415982E+03
   0.990205E+02   0.989820E+00  -0.534248E+01  -0.456651E+01   0.150817E+01   0.647715E-03   0.830277E-04   0.360782E-03   0.769934E-03   0.799762E-03   0.123119E-02   0.215011E-02   0.242864E-03   0.301985E-03   0.207399E+03   0.000000E+00   0.000000E+00   0.207399E+03  -0.414798E+03
   0.990205E+02   0.302078E+01  -0.534248E+01  -0.333551E+01   0.150817E+01   0.647715E-03   0.584319E-03   0.360782E-03   0.769934E-03   0.799762E-03   0.123119E-02   0.157178E-02   0.242864E-03   0.107776E-02   0.206560E+03   0.000000E+00   0.000000E+00   0.206560E+03  -0.413120E+03
   0.100640E+03   0.302078E+01  -0.603558E+01  -0.142748E+01   0.358279E+01   0.647715E-03   0.584319E-03   0.360782E-03   0.475616E-03   0.799762E-03   0.201873E-02   0.157178E-02   0.242864E-03   0.882295E-03   0.205932E+03   0.000000E+00   0.000000E+00   0.205932E+03  -0.411864E+03
   0.100640E+03   0.302078E+01  -0.113007E+01   0.224960E+01  -0.330982E+01   0.647715E-03   0.584319E-03   0.360782E-03   0.355937E-02   0.799762E-03   0.167543E-03   0.157178E-02   0.242864E-03   0.882295E-03   0.201716E+03   0.000000E+00   0.000000E+00   0.201716E+03  -0.403432E+03
   0.100640E+03   0.302078E+01   0.929175E+01   0.102328E+02  -0.650728E+00   0.135988E-02   0.584319E-03   0.360782E-03   0.355937E-02   0.799762E-03   0.167543E-03   0.157178E-02   0.754025E-03   0.882295E-03   0.200156E+03   0.000000E+00   0.000000E+00   0.200156E+03  -0.400312E+03
   0.100640E+03   0.235018E+01   0.929175E+01  -0.195800E+01  -0.107275E+02   0.135988E-02   0.584319E-03   0.360782E-03   0.505771E-02   0.105501E-03   0.167543E-03   0.157178E-02   0.658496E-03   0.882295E-03   0.197471E+03   0.000000E+00   0.000000E+00   0.197471E+03  -0.394942E+03
   0.100640E+03   0.235018E+01  -0.511510E+01  -0.196631E+01  -0.375142E+01   0.585348E-03   0.584319E-03   0.233023E-03   0.449152E-02   0.105501E-03   0.317515E-03   0.157178E-02   0.658496E-03   0.882295E-03   0.200113E+03   0.000000E+00   0.000000E+00   0.200113E+03  -0.400226E+03
   0.100640E+03   0.235018E+01   0.759271E+01  -0.306467E+01  -0.835444E+01   0.100333E-02   0.584319E-03   0.233023E-03   0.449152E-02   0.426182E-03   0.321528E-02   0.157178E-02   0.658496E-03   0.100982E-02   0.196686E+03   0.000000E+00   0.000000E+00   0.196686E+03  -0.393372E+03
