a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.129635E+03  -0.126686E+02   0.323824E+02  -0.109947E+03   0.118785E-02   0.144120E+02   0.104115E+02   0.197686E+02   0.115413E+02   0.299524E+02
   0.130277E+03  -0.126686E+02   0.323824E+02  -0.112899E+03   0.133403E-02   0.101668E+02   0.107971E+02   0.166029E+02   0.150247E+02   0.338105E+02
   0.128512E+03  -0.106928E+02   0.308392E+02  -0.111729E+03   0.146558E-02   0.123110E+02   0.869074E+01   0.160247E+02   0.121938E+02   0.329406E+02
   0.133510E+03  -0.191216E+02   0.308392E+02  -0.111729E+03   0.162005E-02   0.116000E+02   0.812678E+01   0.194583E+02   0.113845E+02   0.295541E+02
   0.133510E+03  -0.204266E+02   0.308392E+02  -0.111729E+03   0.185521E-02   0.882844E+01   0.988516E+01   0.155172E+02   0.209354E+02   0.296333E+02
   0.130700E+03   0.302651E+01   0.279112E+02  -0.124234E+03   0.120520E-02   0.910686E+01   0.103815E+02   0.139526E+02   0.142986E+02   0.333618E+02
   0.130700E+03  -0.121617E+01   0.332749E+02  -0.112933E+03   0.277630E-02   0.785666E+01   0.103815E+02   0.123064E+02   0.172966E+02   0.283979E+02
   0.127799E+03  -0.181525E+02   0.463697E+02  -0.114414E+03   0.466802E-03   0.995297E+01   0.115939E+02   0.118685E+02   0.284416E+02   0.273869E+02
   0.125867E+03  -0.214896E+02   0.582921E+02  -0.112543E+03   0.122881E-02   0.120381E+02   0.883952E+01   0.120106E+02   0.110812E+02   0.304511E+02
   0.130445E+03  -0.406212E+02   0.672570E+02  -0.109385E+03   0.134193E-02   0.109406E+02   0.965491E+01   0.164379E+02   0.112378E+02   0.315957E+02
   0.128783E+03  -0.641973E+02   0.970582E+02  -0.784463E+02   0.219856E-02   0.680631E+01   0.981742E+01   0.139987E+02   0.120004E+02   0.291453E+02
   0.128599E+03  -0.854817E+02   0.819113E+02  -0.534737E+02   0.267116E-02   0.872559E+01   0.117536E+02   0.144840E+02   0.167350E+02   0.282297E+02
   0.112630E+03  -0.233460E+02   0.441447E+02  -0.630261E+02   0.147203E-02   0.973614E+01   0.828717E+01   0.140695E+02   0.182175E+02   0.332921E+02
   0.112928E+03  -0.279213E+02   0.616772E+02  -0.333821E+02   0.833060E-03   0.730977E+01   0.132867E+02   0.160726E+02   0.147086E+02   0.303296E+02
   0.113197E+03  -0.508708E+02   0.614157E+02  -0.618569E+02   0.177922E-02   0.110471E+02   0.110562E+02   0.174154E+02   0.155573E+02   0.296442E+02
   0.117279E+03  -0.230736E+02   0.417743E+02  -0.913115E+02   0.492751E-03   0.106897E+02   0.857832E+01   0.111797E+02   0.205132E+02   0.297976E+02
   0.121467E+03  -0.244921E+02   0.415873E+02  -0.941941E+02   0.850871E-04   0.134783E+02   0.127523E+02   0.161440E+02   0.131385E+02   0.318745E+02
   0.112745E+03   0.458720E+01   0.298234E+02  -0.417090E+02   0.355999E-02   0.161511E+02   0.108813E+02   0.109371E+02   0.104547E+02   0.228958E+02
   0.101328E+03   0.232984E+02  -0.321289E+01  -0.360302E+02   0.439923E-02   0.865728E+01   0.115441E+02   0.149069E+02   0.113815E+02   0.265282E+02
   0.103360E+03   0.137197E+02   0.122406E+02   0.444155E+02   0.851500E-03   0.835452E+01   0.101428E+02   0.168747E+02   0.976137E+01   0.347365E+02
   0.101839E+03   0.635802E+01   0.136632E+02   0.305367E+02   0.492971E-03   0.831887E+01   0.984228E+01   0.182865E+02   0.119598E+02   0.371416E+02
   0.996624E+02   0.850046E+01  -0.117518E+01   0.206304E+02   0.634611E-03   0.130993E+02   0.123950E+02   0.149832E+02   0.183118E+02   0.363334E+02
   0.100840E+03  -0.953363E+01  -0.470808E+01  -0.191092E+02   0.224669E-03   0.923066E+01   0.758911E+01   0.187911E+02   0.168080E+02   0.359183E+02
   0.995453E+02   0.954506E+01  -0.109011E+02  -0.162579E+02   0.436836E-03   0.140436E+02   0.114584E+02   0.166345E+02   0.163010E+02   0.361409E+02
   0.972273E+02   0.954506E+01  -0.494900E+01   0.263345E+02   0.135303E-02   0.820275E+01   0.102979E+02   0.114736E+02   0.163010E+02   0.338893E+02
   0.101394E+03   0.121617E+02   0.148822E+02   0.164345E+02   0.698507E-03   0.985737E+01   0.121154E+02   0.145450E+02   0.113215E+02   0.368029E+02
   0.101505E+03   0.114888E+02   0.121434E+02   0.301232E+02   0.567867E-03   0.900803E+01   0.691810E+01   0.135364E+02   0.157446E+02   0.372576E+02
   0.992394E+02   0.114888E+02   0.381542E+01   0.200579E+02   0.339961E-03   0.114792E+02   0.106829E+02   0.184346E+02   0.190580E+02   0.372788E+02
   0.101464E+03  -0.270431E+01   0.109167E+02  -0.236969E+02   0.342525E-03   0.132503E+02   0.755443E+01   0.271195E+02   0.139025E+02   0.322982E+02
   0.101997E+03  -0.270431E+01  -0.118153E+02  -0.180530E+02   0.589777E-03   0.142345E+02   0.839472E+01   0.142194E+02   0.146488E+02   0.365382E+02
   0.997766E+02  -0.183465E+00  -0.499133E+00  -0.386909E+01   0.395118E-03   0.802432E+01   0.113308E+02   0.132202E+02   0.139750E+02   0.393871E+02
   0.100111E+03   0.289845E+01  -0.795694E+01   0.564638E+01   0.395118E-03   0.962819E+01   0.907933E+01   0.249230E+02   0.185914E+02   0.352156E+02
   0.100245E+03   0.136321E+02   0.179002E+02   0.205416E+02   0.678550E-03   0.850616E+01   0.137838E+02   0.963407E+01   0.151658E+02   0.339029E+02
   0.100410E+03   0.158703E+01   0.781592E+01  -0.405371E+01   0.345254E-02   0.106999E+02   0.123554E+02   0.127976E+02   0.191070E+02   0.283652E+02
   0.983619E+02   0.497103E-01  -0.195327E+02   0.187261E+02   0.169665E-02   0.847235E+01   0.849098E+01   0.175206E+02   0.154381E+02   0.336850E+02
   0.991724E+02   0.423593E+01  -0.991616E+00  -0.253454E+02   0.449682E-03   0.102690E+02   0.888376E+01   0.135855E+02   0.140323E+02   0.383323E+02
