a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.101794E+03 -0.384200E+01  0.249116E-03  0.314571E-03  0.266616E-03  0.146559E+03
  0.101794E+03 -0.116587E+01  0.249116E-03  0.314571E-03  0.266616E-03  0.148744E+03
  0.101794E+03 -0.116587E+01  0.249116E-03  0.314571E-03  0.266616E-03  0.148744E+03
  0.101947E+03 -0.116587E+01  0.249116E-03  0.314571E-03  0.266616E-03  0.148452E+03
  0.101947E+03 -0.116587E+01  0.249116E-03  0.314571E-03  0.266616E-03  0.148452E+03
  0.101947E+03 -0.116587E+01  0.249116E-03  0.314571E-03  0.266616E-03  0.148452E+03
  0.101947E+03 -0.116587E+01  0.249116E-03  0.314571E-03  0.266616E-03  0.148452E+03
  0.101947E+03 -0.116587E+01  0.249116E-03  0.314571E-03  0.266616E-03  0.148452E+03
  0.101947E+03 -0.116587E+01  0.249116E-03  0.314571E-03  0.266616E-03  0.148452E+03
  0.101947E+03 -0.116587E+01  0.249116E-03  0.251403E-03  0.266616E-03  0.148701E+03
  0.101947E+03 -0.116587E+01  0.249116E-03  0.251403E-03  0.266616E-03  0.148701E+03
  0.101947E+03 -0.116587E+01  0.249116E-03  0.251403E-03  0.266616E-03  0.148701E+03
  0.101947E+03  0.571704E+01  0.249116E-03  0.251403E-03  0.266616E-03  0.147190E+03
  0.101947E+03  0.415589E+01  0.249116E-03  0.251403E-03  0.225806E-03  0.148476E+03
  0.101947E+03 -0.335623E+01  0.249116E-03  0.251403E-03  0.225806E-03  0.147136E+03
  0.101947E+03 -0.335623E+01  0.249116E-03  0.251403E-03  0.225806E-03  0.147136E+03
  0.101947E+03 -0.335623E+01  0.249116E-03  0.251403E-03  0.225806E-03  0.147136E+03
  0.101947E+03 -0.335623E+01  0.249116E-03  0.251403E-03  0.225806E-03  0.147136E+03
  0.101947E+03 -0.335623E+01  0.249116E-03  0.124041E-03  0.225806E-03  0.147296E+03
  0.101947E+03 -0.335623E+01  0.249116E-03  0.124041E-03  0.289758E-04  0.147707E+03
  0.101947E+03 -0.814903E+00  0.249116E-03  0.124041E-03  0.289758E-04  0.149779E+03
  0.101947E+03 -0.814903E+00  0.249116E-03  0.124041E-03  0.289758E-04  0.149779E+03
  0.100288E+03 -0.814903E+00  0.249116E-03  0.124041E-03  0.289758E-04  0.149480E+03
  0.100288E+03  0.102400E+01  0.249116E-03  0.124041E-03  0.289758E-04  0.150337E+03
  0.100288E+03  0.102400E+01  0.249116E-03  0.124041E-03  0.782970E-05  0.150347E+03
  0.100288E+03  0.102400E+01  0.249116E-03  0.124041E-03  0.998240E-04  0.150220E+03
  0.100288E+03  0.843039E+01  0.249116E-03  0.124041E-03  0.998240E-04  0.142958E+03
  0.100288E+03  0.349176E+01  0.249116E-03  0.124041E-03  0.998240E-04  0.149736E+03
  0.100288E+03  0.349176E+01  0.249116E-03  0.247483E-03  0.998240E-04  0.149451E+03
  0.100721E+03  0.349176E+01  0.249116E-03  0.179552E-03  0.998240E-04  0.150408E+03
  0.100721E+03  0.349176E+01  0.249116E-03  0.179552E-03  0.998240E-04  0.150408E+03
  0.100721E+03  0.314058E+01  0.249116E-03  0.179552E-03  0.998240E-04  0.150600E+03
  0.100721E+03  0.314058E+01  0.249116E-03  0.179552E-03  0.998240E-04  0.150600E+03
  0.100721E+03  0.314058E+01  0.249116E-03  0.179552E-03  0.998240E-04  0.150600E+03
  0.100721E+03  0.314058E+01  0.249116E-03  0.179552E-03  0.998240E-04  0.150600E+03
