a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101365E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.993545E-03   0.191737E+03   0.000000E+00   0.000000E+00   0.191737E+03  -0.383474E+03
   0.101365E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.993545E-03   0.191737E+03   0.000000E+00   0.000000E+00   0.191737E+03  -0.383474E+03
   0.101365E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.993545E-03   0.191737E+03   0.000000E+00   0.000000E+00   0.191737E+03  -0.383474E+03
   0.101365E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.993545E-03   0.191737E+03   0.000000E+00   0.000000E+00   0.191737E+03  -0.383474E+03
   0.101365E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.993545E-03   0.191737E+03   0.000000E+00   0.000000E+00   0.191737E+03  -0.383474E+03
   0.101518E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.993545E-03   0.191468E+03   0.000000E+00   0.000000E+00   0.191468E+03  -0.382936E+03
   0.101518E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.993545E-03   0.191468E+03   0.000000E+00   0.000000E+00   0.191468E+03  -0.382936E+03
   0.101518E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.993545E-03   0.191468E+03   0.000000E+00   0.000000E+00   0.191468E+03  -0.382936E+03
   0.101518E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.993545E-03   0.191468E+03   0.000000E+00   0.000000E+00   0.191468E+03  -0.382936E+03
   0.101518E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.993545E-03   0.191468E+03   0.000000E+00   0.000000E+00   0.191468E+03  -0.382936E+03
   0.101518E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.952735E-03   0.191406E+03   0.000000E+00   0.000000E+00   0.191406E+03  -0.382812E+03
   0.101518E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.952735E-03   0.191406E+03   0.000000E+00   0.000000E+00   0.191406E+03  -0.382812E+03
   0.101518E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.952735E-03   0.191406E+03   0.000000E+00   0.000000E+00   0.191406E+03  -0.382812E+03
   0.101518E+03   0.185441E-03   0.301302E-03   0.138346E-03   0.952735E-03   0.192733E+03   0.000000E+00   0.000000E+00   0.192733E+03  -0.385466E+03
   0.101518E+03   0.185441E-03   0.301302E-03   0.138346E-03   0.952735E-03   0.192733E+03   0.000000E+00   0.000000E+00   0.192733E+03  -0.385466E+03
   0.998589E+02   0.185441E-03   0.301302E-03   0.138346E-03   0.952735E-03   0.192293E+03   0.000000E+00   0.000000E+00   0.192293E+03  -0.384586E+03
   0.998589E+02   0.185441E-03   0.301302E-03   0.138346E-03   0.952735E-03   0.192293E+03   0.000000E+00   0.000000E+00   0.192293E+03  -0.384586E+03
   0.998166E+02   0.185441E-03   0.301302E-03   0.138346E-03   0.952735E-03   0.192169E+03   0.000000E+00   0.000000E+00   0.192169E+03  -0.384338E+03
   0.998166E+02   0.185441E-03   0.301302E-03   0.138346E-03   0.952735E-03   0.192169E+03   0.000000E+00   0.000000E+00   0.192169E+03  -0.384338E+03
   0.100064E+03   0.185441E-03   0.517749E-03   0.138346E-03   0.952735E-03   0.192258E+03   0.000000E+00   0.000000E+00   0.192258E+03  -0.384516E+03
   0.997791E+02   0.185441E-03   0.517749E-03   0.138346E-03   0.952735E-03   0.191682E+03   0.000000E+00   0.000000E+00   0.191682E+03  -0.383364E+03
   0.997791E+02   0.185441E-03   0.517749E-03   0.138346E-03   0.952735E-03   0.191682E+03   0.000000E+00   0.000000E+00   0.191682E+03  -0.383364E+03
   0.997791E+02   0.185441E-03   0.517749E-03   0.138346E-03   0.952735E-03   0.191682E+03   0.000000E+00   0.000000E+00   0.191682E+03  -0.383364E+03
   0.997791E+02   0.185441E-03   0.517749E-03   0.138346E-03   0.752736E-03   0.191664E+03   0.000000E+00   0.000000E+00   0.191664E+03  -0.383328E+03
   0.997791E+02   0.185441E-03   0.517749E-03   0.138346E-03   0.752736E-03   0.191664E+03   0.000000E+00   0.000000E+00   0.191664E+03  -0.383328E+03
   0.997791E+02   0.185441E-03   0.517749E-03   0.138346E-03   0.752736E-03   0.191664E+03   0.000000E+00   0.000000E+00   0.191664E+03  -0.383328E+03
   0.997791E+02   0.185441E-03   0.517749E-03   0.138346E-03   0.752736E-03   0.191664E+03   0.000000E+00   0.000000E+00   0.191664E+03  -0.383328E+03
   0.997791E+02   0.185441E-03   0.517749E-03   0.138346E-03   0.752736E-03   0.191664E+03   0.000000E+00   0.000000E+00   0.191664E+03  -0.383328E+03
   0.100957E+03   0.185441E-03   0.517749E-03   0.138346E-03   0.752736E-03   0.192017E+03   0.000000E+00   0.000000E+00   0.192017E+03  -0.384034E+03
   0.100957E+03   0.185441E-03   0.517749E-03   0.138346E-03   0.752736E-03   0.192017E+03   0.000000E+00   0.000000E+00   0.192017E+03  -0.384034E+03
   0.100957E+03   0.185441E-03   0.517749E-03   0.138346E-03   0.752736E-03   0.192017E+03   0.000000E+00   0.000000E+00   0.192017E+03  -0.384034E+03
   0.100957E+03   0.185441E-03   0.517749E-03   0.138346E-03   0.245466E-02   0.189294E+03   0.000000E+00   0.000000E+00   0.189294E+03  -0.378588E+03
   0.100957E+03   0.185441E-03   0.517749E-03   0.138346E-03   0.245466E-02   0.189294E+03   0.000000E+00   0.000000E+00   0.189294E+03  -0.378588E+03
   0.100957E+03   0.185441E-03   0.517749E-03   0.138346E-03   0.320110E-02   0.187540E+03   0.000000E+00   0.000000E+00   0.187540E+03  -0.375080E+03
   0.100957E+03   0.358021E-03   0.517749E-03   0.640192E-04   0.340945E-02   0.186964E+03   0.000000E+00   0.000000E+00   0.186964E+03  -0.373928E+03
   0.100957E+03   0.358021E-03   0.826123E-03   0.640192E-04   0.340945E-02   0.185191E+03   0.000000E+00   0.000000E+00   0.185191E+03  -0.370382E+03
   0.100957E+03   0.358021E-03   0.826123E-03   0.640192E-04   0.206602E-02   0.188402E+03   0.000000E+00   0.000000E+00   0.188402E+03  -0.376804E+03
   0.100447E+03   0.358021E-03   0.826123E-03   0.640192E-04   0.206602E-02   0.188399E+03   0.000000E+00   0.000000E+00   0.188399E+03  -0.376798E+03
   0.100447E+03   0.470323E-03   0.826123E-03   0.640192E-04   0.206602E-02   0.188106E+03   0.000000E+00   0.000000E+00   0.188106E+03  -0.376212E+03
   0.100447E+03   0.470323E-03   0.826123E-03   0.640192E-04   0.172284E-02   0.189083E+03   0.000000E+00   0.000000E+00   0.189083E+03  -0.378166E+03
   0.100447E+03   0.470323E-03   0.826123E-03   0.640192E-04   0.124098E-02   0.190350E+03   0.000000E+00   0.000000E+00   0.190350E+03  -0.380700E+03
