a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.994320E+02   0.266755E+01  -0.152098E+02   0.234475E-02   0.513138E-03   0.499795E-03   0.264077E-02   0.484286E-03   0.906296E-03   0.109575E-02   0.217136E-03   0.256057E-03   0.202861E+03   0.000000E+00   0.000000E+00   0.202861E+03  -0.405722E+03
   0.994320E+02   0.266755E+01  -0.103383E+02   0.234475E-02   0.513138E-03   0.499795E-03   0.158810E-02   0.484286E-03   0.906296E-03   0.114706E-02   0.217136E-03   0.256057E-03   0.205758E+03   0.000000E+00   0.000000E+00   0.205758E+03  -0.411516E+03
   0.994320E+02   0.266755E+01  -0.167880E+01   0.234475E-02   0.513138E-03   0.499795E-03   0.158810E-02   0.484286E-03   0.906296E-03   0.114706E-02   0.217136E-03   0.412912E-03   0.206035E+03   0.000000E+00   0.000000E+00   0.206035E+03  -0.412070E+03
   0.994320E+02   0.266755E+01  -0.776716E+01   0.234475E-02   0.135336E-02   0.499795E-03   0.360333E-02   0.484286E-03   0.906296E-03   0.114706E-02   0.217136E-03   0.412912E-03   0.201510E+03   0.000000E+00   0.000000E+00   0.201510E+03  -0.403020E+03
   0.994320E+02   0.266755E+01  -0.400640E+01   0.941708E-03   0.122149E-03   0.499795E-03   0.130965E-02   0.484286E-03   0.906296E-03   0.114706E-02   0.217136E-03   0.412912E-03   0.209238E+03   0.000000E+00   0.000000E+00   0.209238E+03  -0.418476E+03
   0.994320E+02   0.266755E+01  -0.563665E+01   0.107076E-02   0.122149E-03   0.499795E-03   0.130965E-02   0.484286E-03   0.120752E-02   0.114706E-02   0.217136E-03   0.412912E-03   0.208531E+03   0.000000E+00   0.000000E+00   0.208531E+03  -0.417062E+03
   0.994320E+02   0.266755E+01  -0.563665E+01   0.869655E-04   0.122149E-03   0.107098E-02   0.559762E-03   0.484286E-03   0.120752E-02   0.114706E-02   0.936411E-03   0.412912E-03   0.207706E+03   0.000000E+00   0.000000E+00   0.207706E+03  -0.415412E+03
   0.994320E+02   0.266755E+01   0.136782E+01   0.869655E-04   0.122149E-03   0.107098E-02   0.559762E-03   0.484286E-03   0.120752E-02   0.114706E-02   0.936411E-03   0.412912E-03   0.207107E+03   0.000000E+00   0.000000E+00   0.207107E+03  -0.414214E+03
   0.994320E+02   0.266755E+01  -0.290141E+01   0.869655E-04   0.122149E-03   0.128140E-03   0.559762E-03   0.484286E-03   0.909191E-03   0.114706E-02   0.936411E-03   0.412912E-03   0.208897E+03   0.000000E+00   0.000000E+00   0.208897E+03  -0.417794E+03
   0.996563E+02   0.266755E+01   0.330562E+01   0.869655E-04   0.122149E-03   0.128140E-03   0.559762E-03   0.484286E-03   0.909191E-03   0.114706E-02   0.936411E-03   0.412912E-03   0.208208E+03   0.000000E+00   0.000000E+00   0.208208E+03  -0.416416E+03
   0.996563E+02   0.118112E+01   0.330562E+01   0.869655E-04   0.122149E-03   0.128140E-03   0.559762E-03   0.484286E-03   0.909191E-03   0.114706E-02   0.125120E-02   0.412912E-03   0.207285E+03   0.000000E+00   0.000000E+00   0.207285E+03  -0.414570E+03
   0.996563E+02   0.118112E+01   0.660142E+01   0.869655E-04   0.122149E-03   0.128140E-03   0.559762E-03   0.127784E-02   0.909191E-03   0.114706E-02   0.847741E-03   0.412912E-03   0.205987E+03   0.000000E+00   0.000000E+00   0.205987E+03  -0.411974E+03
   0.996563E+02   0.118112E+01  -0.793722E+00   0.869655E-04   0.122149E-03   0.128140E-03   0.559762E-03   0.127784E-02   0.909191E-03   0.114706E-02   0.847741E-03   0.412912E-03   0.207991E+03   0.000000E+00   0.000000E+00   0.207991E+03  -0.415982E+03
   0.996563E+02   0.118112E+01  -0.620289E+01   0.869655E-04   0.122149E-03   0.128140E-03   0.559762E-03   0.140176E-02   0.909191E-03   0.482603E-03   0.497686E-03   0.412912E-03   0.209537E+03   0.000000E+00   0.000000E+00   0.209537E+03  -0.419074E+03
   0.998436E+02  -0.212366E+00  -0.185879E+00   0.869655E-04   0.122149E-03   0.128140E-03   0.559762E-03   0.588302E-03   0.909191E-03   0.482603E-03   0.497686E-03   0.412912E-03   0.210596E+03   0.000000E+00   0.000000E+00   0.210596E+03  -0.421192E+03
   0.998436E+02  -0.681333E+00   0.680825E+01   0.869655E-04   0.122149E-03   0.428353E-03   0.559762E-03   0.588302E-03   0.909191E-03   0.277700E-03   0.854779E-03   0.412912E-03   0.208010E+03   0.000000E+00   0.000000E+00   0.208010E+03  -0.416020E+03
   0.989806E+02  -0.681333E+00   0.418753E+01   0.869655E-04   0.122149E-03   0.428353E-03   0.559762E-03   0.118841E-02   0.909191E-03   0.277700E-03   0.854779E-03   0.412912E-03   0.206680E+03   0.000000E+00   0.000000E+00   0.206680E+03  -0.413360E+03
   0.999052E+02  -0.681333E+00   0.956773E+00   0.869655E-04   0.891473E-03   0.116381E-04   0.100825E-03   0.118841E-02   0.909191E-03   0.277700E-03   0.854779E-03   0.412912E-03   0.206339E+03   0.000000E+00   0.000000E+00   0.206339E+03  -0.412678E+03
