a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  Y9_intercept  LogPost       
  0.100000E+03  0.000000E+00 -0.496533E+01  0.170787E-03  0.442936E-03  0.749157E-03  0.100000E-02  0.511508E-03  0.886075E-03  0.140658E-02  0.834965E-03  0.906394E-04  0.209218E+03
  0.100000E+03  0.495576E+00 -0.782545E+01  0.170787E-03  0.442936E-03  0.749157E-03  0.100000E-02  0.511508E-03  0.886075E-03  0.140658E-02  0.834965E-03  0.906394E-04  0.209124E+03
  0.100000E+03  0.495576E+00 -0.782545E+01  0.170787E-03  0.442936E-03  0.749157E-03  0.100000E-02  0.511508E-03  0.886075E-03  0.140658E-02  0.834965E-03  0.906394E-04  0.209124E+03
  0.100000E+03  0.495576E+00 -0.111369E+02  0.170787E-03  0.442936E-03  0.749157E-03  0.100000E-02  0.511508E-03  0.886075E-03  0.140658E-02  0.834965E-03  0.906394E-04  0.208518E+03
  0.100000E+03  0.223656E+01 -0.111369E+02  0.170787E-03  0.442936E-03  0.749157E-03  0.112071E-02  0.511508E-03  0.116138E-02  0.140658E-02  0.834965E-03  0.906394E-04  0.207713E+03
  0.100000E+03  0.223656E+01 -0.111369E+02  0.170787E-03  0.316390E-03  0.749157E-03  0.112071E-02  0.511508E-03  0.116138E-02  0.140658E-02  0.834965E-03  0.335428E-03  0.207579E+03
  0.100000E+03  0.223656E+01 -0.111369E+02  0.170787E-03  0.316390E-03  0.749157E-03  0.112071E-02  0.511508E-03  0.116138E-02  0.140658E-02  0.834965E-03  0.335428E-03  0.207579E+03
  0.100000E+03  0.223656E+01 -0.111369E+02  0.170787E-03  0.316390E-03  0.749157E-03  0.307288E-02  0.511508E-03  0.116138E-02  0.140658E-02  0.834965E-03  0.335428E-03  0.204802E+03
  0.100000E+03  0.223656E+01 -0.451605E+01  0.170787E-03  0.316390E-03  0.749157E-03  0.307288E-02  0.511508E-03  0.116138E-02  0.140658E-02  0.834965E-03  0.173962E-03  0.205815E+03
  0.100000E+03  0.429176E+01 -0.451605E+01  0.170787E-03  0.316390E-03  0.749157E-03  0.630330E-02  0.511508E-03  0.116138E-02  0.140658E-02  0.834965E-03  0.173962E-03  0.202223E+03
  0.100000E+03  0.429176E+01  0.393281E+01  0.170787E-03  0.316390E-03  0.749157E-03  0.635258E-02  0.511508E-03  0.116138E-02  0.140658E-02  0.606676E-03  0.173962E-03  0.201630E+03
  0.100000E+03  0.429176E+01  0.393281E+01  0.170787E-03  0.389172E-03  0.749157E-03  0.734260E-02  0.895903E-04  0.116138E-02  0.140658E-02  0.606676E-03  0.173962E-03  0.200862E+03
  0.100000E+03  0.429176E+01 -0.397022E+01  0.170787E-03  0.389172E-03  0.749157E-03  0.498018E-02  0.895903E-04  0.116138E-02  0.140658E-02  0.263443E-04  0.173962E-03  0.203216E+03
  0.100000E+03  0.429176E+01 -0.397022E+01  0.171102E-03  0.389172E-03  0.749157E-03  0.498018E-02  0.820193E-03  0.116138E-02  0.140658E-02  0.263443E-04  0.173962E-03  0.203445E+03
  0.100000E+03  0.535712E+01 -0.397022E+01  0.171102E-03  0.389172E-03  0.234083E-03  0.498018E-02  0.820193E-03  0.116138E-02  0.140658E-02  0.263443E-04  0.173962E-03  0.202716E+03
  0.100000E+03  0.535712E+01 -0.397022E+01  0.171102E-03  0.389172E-03  0.234083E-03  0.143790E-02  0.820193E-03  0.116138E-02  0.140658E-02  0.263443E-04  0.173962E-03  0.206966E+03
  0.100000E+03 -0.300993E+01 -0.585147E+01  0.171102E-03  0.389172E-03  0.234083E-03  0.143790E-02  0.632797E-03  0.116138E-02  0.140658E-02  0.263443E-04  0.173962E-03  0.205900E+03
  0.100000E+03  0.857759E+00 -0.585147E+01  0.171102E-03  0.389172E-03  0.234083E-03  0.243565E-02  0.632797E-03  0.116138E-02  0.140658E-02  0.263443E-04  0.173962E-03  0.207206E+03
  0.100000E+03  0.857759E+00 -0.585147E+01  0.171102E-03  0.389172E-03  0.234083E-03  0.850703E-03  0.632797E-03  0.116138E-02  0.514910E-03  0.263443E-04  0.173962E-03  0.211362E+03
  0.100000E+03 -0.106140E+00 -0.678572E+01  0.171102E-03  0.389172E-03  0.234083E-03  0.850703E-03  0.632797E-03  0.116138E-02  0.514910E-03  0.263443E-04  0.173962E-03  0.210770E+03
  0.100000E+03 -0.106140E+00 -0.689702E+01  0.171102E-03  0.389172E-03  0.234083E-03  0.850703E-03  0.632797E-03  0.116138E-02  0.514910E-03  0.263443E-04  0.173962E-03  0.210749E+03
  0.100000E+03 -0.106140E+00 -0.689702E+01  0.171102E-03  0.433022E-03  0.234083E-03  0.850703E-03  0.632797E-03  0.116138E-02  0.514910E-03  0.263443E-04  0.173962E-03  0.210710E+03
  0.100000E+03 -0.106140E+00 -0.689702E+01  0.154634E-03  0.433022E-03  0.234083E-03  0.850703E-03  0.632797E-03  0.116138E-02  0.514910E-03  0.263443E-04  0.173962E-03  0.210700E+03
  0.100000E+03 -0.106140E+00 -0.689702E+01  0.154634E-03  0.433022E-03  0.234083E-03  0.748871E-03  0.632797E-03  0.116138E-02  0.514910E-03  0.263443E-04  0.173962E-03  0.210749E+03
  0.100000E+03 -0.106140E+00 -0.689702E+01  0.154634E-03  0.433022E-03  0.234083E-03  0.286258E-02  0.632797E-03  0.116138E-02  0.514910E-03  0.263443E-04  0.173962E-03  0.207773E+03
