a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101885E+03  -0.349397E+01  -0.845375E+00  -0.147691E+02   0.124180E-02   0.115561E-04   0.301555E-03   0.105867E-02   0.186892E+03   0.000000E+00   0.000000E+00   0.186892E+03  -0.373784E+03
   0.102163E+03  -0.349397E+01  -0.845375E+00  -0.888327E+01   0.124180E-02   0.115561E-04   0.301555E-03   0.105867E-02   0.185942E+03   0.000000E+00   0.000000E+00   0.185942E+03  -0.371884E+03
   0.102163E+03  -0.176681E+01   0.957080E+01  -0.888327E+01   0.217910E-03   0.115561E-04   0.301555E-03   0.928054E-03   0.188855E+03   0.000000E+00   0.000000E+00   0.188855E+03  -0.377710E+03
   0.102163E+03  -0.182556E+01  -0.711034E+00  -0.104247E+02   0.217910E-03   0.161582E-03   0.152678E-03   0.928054E-03   0.189568E+03   0.000000E+00   0.000000E+00   0.189568E+03  -0.379136E+03
   0.102163E+03  -0.170550E+01  -0.711034E+00  -0.533280E+01   0.217910E-03   0.338303E-03   0.152678E-03   0.928054E-03   0.188331E+03   0.000000E+00   0.000000E+00   0.188331E+03  -0.376662E+03
   0.102163E+03  -0.219273E+01   0.689126E+00  -0.210881E+02   0.699160E-03   0.338303E-03   0.152678E-03   0.928054E-03   0.187061E+03   0.000000E+00   0.000000E+00   0.187061E+03  -0.374122E+03
   0.102163E+03  -0.497402E+01   0.689126E+00  -0.215111E+02   0.699160E-03   0.850325E-03   0.152678E-03   0.928054E-03   0.185367E+03   0.000000E+00   0.000000E+00   0.185367E+03  -0.370734E+03
   0.102163E+03  -0.620543E+01  -0.366249E+01  -0.119183E+02   0.710081E-03   0.850325E-03   0.152678E-03   0.928054E-03   0.183077E+03   0.000000E+00   0.000000E+00   0.183077E+03  -0.366154E+03
   0.102163E+03  -0.620543E+01  -0.117405E+01  -0.119183E+02   0.710081E-03   0.850325E-03   0.152678E-03   0.928054E-03   0.183813E+03   0.000000E+00   0.000000E+00   0.183813E+03  -0.367626E+03
   0.102163E+03  -0.702599E+01   0.351204E+01  -0.214348E+02   0.352900E-03   0.177394E-03   0.152678E-03   0.928054E-03   0.187234E+03   0.000000E+00   0.000000E+00   0.187234E+03  -0.374468E+03
   0.102163E+03  -0.587505E+01   0.351204E+01  -0.214348E+02   0.352900E-03   0.177394E-03   0.152678E-03   0.258462E-02   0.186207E+03   0.000000E+00   0.000000E+00   0.186207E+03  -0.372414E+03
   0.102163E+03  -0.587505E+01   0.302246E+01  -0.214348E+02   0.352900E-03   0.177394E-03   0.152678E-03   0.280895E-02   0.185815E+03   0.000000E+00   0.000000E+00   0.185815E+03  -0.371630E+03
   0.103170E+03  -0.587505E+01   0.302246E+01  -0.268514E+02   0.352900E-03   0.177394E-03   0.152678E-03   0.280895E-02   0.185085E+03   0.000000E+00   0.000000E+00   0.185085E+03  -0.370170E+03
   0.103170E+03  -0.587505E+01   0.302246E+01  -0.233206E+02   0.352900E-03   0.177394E-03   0.152678E-03   0.280895E-02   0.185459E+03   0.000000E+00   0.000000E+00   0.185459E+03  -0.370918E+03
   0.103170E+03  -0.617710E+01   0.283743E+00  -0.276984E+02   0.352900E-03   0.177394E-03   0.152678E-03   0.280895E-02   0.185061E+03   0.000000E+00   0.000000E+00   0.185061E+03  -0.370122E+03
   0.103170E+03  -0.617710E+01   0.283743E+00  -0.162014E+02   0.352900E-03   0.436183E-03   0.152678E-03   0.280895E-02   0.183475E+03   0.000000E+00   0.000000E+00   0.183475E+03  -0.366950E+03
   0.101991E+03  -0.617710E+01  -0.927922E+00  -0.162014E+02   0.352900E-03   0.327814E-03   0.152678E-03   0.280895E-02   0.185845E+03   0.000000E+00   0.000000E+00   0.185845E+03  -0.371690E+03
   0.101991E+03   0.173463E+01  -0.927922E+00  -0.360493E+01   0.352900E-03   0.327814E-03   0.152678E-03   0.280895E-02   0.187067E+03   0.000000E+00   0.000000E+00   0.187067E+03  -0.374134E+03
   0.101991E+03   0.173463E+01   0.810803E+01  -0.503732E+01   0.352900E-03   0.327814E-03   0.152678E-03   0.269786E-02   0.187212E+03   0.000000E+00   0.000000E+00   0.187212E+03  -0.374424E+03
   0.101991E+03   0.173463E+01   0.810803E+01  -0.511956E+01   0.352900E-03   0.327814E-03   0.152678E-03   0.153011E-02   0.189686E+03   0.000000E+00   0.000000E+00   0.189686E+03  -0.379372E+03
   0.101991E+03   0.353601E+00   0.104755E+02   0.856943E+00   0.352900E-03   0.327814E-03   0.152678E-03   0.930786E-03   0.189644E+03   0.000000E+00   0.000000E+00   0.189644E+03  -0.379288E+03
   0.101991E+03   0.273344E+01   0.104755E+02   0.213720E+01   0.650928E-03   0.131433E-03   0.152678E-03   0.930786E-03   0.189567E+03   0.000000E+00   0.000000E+00   0.189567E+03  -0.379134E+03
   0.102617E+03   0.273344E+01   0.613682E+01   0.213720E+01   0.650928E-03   0.131433E-03   0.152678E-03   0.930786E-03   0.188101E+03   0.000000E+00   0.000000E+00   0.188101E+03  -0.376202E+03
   0.100872E+03   0.533101E+01   0.662253E+01   0.322214E+01   0.650928E-03   0.131433E-03   0.152678E-03   0.930786E-03   0.189501E+03   0.000000E+00   0.000000E+00   0.189501E+03  -0.379002E+03
   0.100872E+03   0.250829E+01   0.665324E+01   0.322214E+01   0.650928E-03   0.131433E-03   0.152678E-03   0.930786E-03   0.190535E+03   0.000000E+00   0.000000E+00   0.190535E+03  -0.381070E+03
   0.100872E+03   0.250829E+01   0.658115E+01   0.116367E+02   0.674328E-03   0.131433E-03   0.152678E-03   0.102152E-02   0.189491E+03   0.000000E+00   0.000000E+00   0.189491E+03  -0.378982E+03
   0.100872E+03   0.493147E+01   0.658115E+01   0.116367E+02   0.674328E-03   0.131433E-03   0.324938E-03   0.102152E-02   0.189522E+03   0.000000E+00   0.000000E+00   0.189522E+03  -0.379044E+03
   0.100872E+03   0.493147E+01   0.829135E+00   0.110763E+02   0.674328E-03   0.131433E-03   0.321836E-03   0.102152E-02   0.190120E+03   0.000000E+00   0.000000E+00   0.190120E+03  -0.380240E+03
   0.100872E+03   0.406145E+01   0.829135E+00   0.798757E+00   0.674328E-03   0.131433E-03   0.321836E-03   0.250539E-02   0.187955E+03   0.000000E+00   0.000000E+00   0.187955E+03  -0.375910E+03
   0.101129E+03   0.406145E+01   0.172694E+01  -0.337394E+01   0.296480E-03   0.160988E-04   0.321836E-03   0.250539E-02   0.188588E+03   0.000000E+00   0.000000E+00   0.188588E+03  -0.377176E+03
