a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.100567E+03   0.186829E+01  -0.253432E+01   0.373948E-03   0.351465E-03   0.439498E-03   0.148312E+03
   0.100567E+03   0.186829E+01  -0.253432E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.148614E+03
   0.100567E+03   0.186829E+01  -0.542141E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.148348E+03
   0.100567E+03   0.186829E+01  -0.293297E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.148602E+03
   0.100567E+03   0.589818E+01  -0.140846E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.147013E+03
   0.101781E+03   0.589818E+01  -0.383377E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.145774E+03
   0.101781E+03   0.313159E+01  -0.333472E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.147564E+03
   0.101781E+03   0.313159E+01  -0.972173E+01   0.154515E-03   0.351465E-03   0.439498E-03   0.145356E+03
   0.101640E+03   0.565355E+00  -0.972173E+01   0.154515E-03   0.515003E-03   0.439498E-03   0.145291E+03
   0.999321E+02   0.633854E+01  -0.157286E+00   0.154515E-03   0.515003E-03   0.439498E-03   0.144893E+03
   0.999321E+02   0.633854E+01  -0.629016E+01   0.154515E-03   0.515003E-03   0.439498E-03   0.144614E+03
   0.999321E+02   0.286931E+01  -0.629016E+01   0.444174E-04   0.515003E-03   0.439498E-03   0.146819E+03
   0.999321E+02   0.700684E-01  -0.558727E+01   0.444174E-04   0.515003E-03   0.439498E-03   0.146602E+03
   0.999321E+02  -0.894614E+00  -0.558727E+01   0.444174E-04   0.515003E-03   0.439498E-03   0.146088E+03
   0.999321E+02  -0.894614E+00  -0.504441E+01   0.444174E-04   0.417471E-03   0.439498E-03   0.146408E+03
   0.999321E+02  -0.952292E+00   0.365849E+01   0.444174E-04   0.417471E-03   0.439498E-03   0.144535E+03
   0.100697E+03  -0.952292E+00  -0.631078E+00   0.444174E-04   0.417471E-03   0.439498E-03   0.147684E+03
   0.100535E+03   0.833957E+01  -0.631078E+00   0.444174E-04   0.417471E-03   0.439498E-03   0.144295E+03
   0.101743E+03   0.817513E+01   0.988549E+01   0.444174E-04   0.417471E-03   0.439498E-03   0.143995E+03
   0.101743E+03  -0.371527E+01   0.448808E+01   0.444174E-04   0.417471E-03   0.439498E-03   0.145581E+03
   0.101743E+03  -0.396463E+01   0.693230E+01   0.444174E-04   0.417471E-03   0.259220E-05   0.146899E+03
   0.102252E+03  -0.396463E+01   0.235780E+01   0.444174E-04   0.417471E-03   0.259220E-05   0.146395E+03
   0.102252E+03  -0.396463E+01   0.235780E+01   0.444174E-04   0.417471E-03   0.284303E-03   0.145796E+03
   0.102252E+03   0.191936E+01   0.339340E+01   0.444174E-04   0.417471E-03   0.284303E-03   0.148345E+03
   0.102252E+03   0.191936E+01   0.105143E+02   0.444174E-04   0.417471E-03   0.284303E-03   0.147839E+03
   0.102252E+03   0.191936E+01   0.105143E+02   0.444174E-04   0.417471E-03   0.284303E-03   0.147839E+03
   0.102205E+03   0.191936E+01   0.105779E+02   0.444174E-04   0.417471E-03   0.284303E-03   0.147832E+03
