a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.101210E+03  0.156509E+01  0.887024E+01  0.150807E-03  0.328021E-03  0.592684E-03  0.145829E+03
  0.101210E+03  0.476653E+01  0.650518E+01  0.150807E-03  0.328021E-03  0.592684E-03  0.146650E+03
  0.101210E+03  0.476653E+01 -0.172713E+01  0.150807E-03  0.328021E-03  0.592684E-03  0.147596E+03
  0.101210E+03 -0.990993E+00 -0.172713E+01  0.723778E-03  0.328021E-03  0.592684E-03  0.145693E+03
  0.101210E+03 -0.990993E+00 -0.116975E+01  0.723778E-03  0.328021E-03  0.592684E-03  0.145707E+03
  0.101210E+03  0.343058E+01 -0.116975E+01  0.723778E-03  0.328021E-03  0.592684E-03  0.146412E+03
  0.101210E+03  0.343058E+01 -0.116975E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.147197E+03
  0.101210E+03  0.343058E+01  0.137161E+00  0.723778E-03  0.328021E-03  0.446165E-03  0.147266E+03
  0.101210E+03  0.343058E+01  0.395824E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.146982E+03
  0.101210E+03 -0.777976E+00  0.395824E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.146479E+03
  0.101210E+03 -0.777976E+00  0.395824E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.146479E+03
  0.101210E+03 -0.777976E+00  0.395824E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.146479E+03
  0.101210E+03 -0.777976E+00  0.413405E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.146441E+03
  0.101210E+03  0.216274E+01  0.413405E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.147134E+03
  0.101210E+03  0.216274E+01 -0.205240E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.147381E+03
  0.101210E+03  0.216274E+01  0.131372E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.147479E+03
  0.101210E+03  0.216274E+01 -0.107083E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.147462E+03
  0.101210E+03  0.355992E+01 -0.107083E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.147162E+03
  0.101210E+03  0.355992E+01 -0.107083E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.147162E+03
  0.101210E+03  0.355992E+01 -0.107083E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.147162E+03
  0.101210E+03  0.355992E+01 -0.107083E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.147162E+03
  0.101210E+03  0.355992E+01  0.376508E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.146979E+03
