a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100292E+03   0.136658E+01  -0.109560E+02   0.704695E-03   0.780763E-03   0.534720E-03   0.142736E+03   0.000000E+00   0.000000E+00   0.142736E+03  -0.285472E+03
   0.100292E+03   0.142963E+01   0.262023E+01   0.907771E-03   0.780763E-03   0.534720E-03   0.142709E+03   0.000000E+00   0.000000E+00   0.142709E+03  -0.285418E+03
   0.100292E+03   0.142963E+01   0.262023E+01   0.907771E-03   0.780763E-03   0.439498E-03   0.143406E+03   0.000000E+00   0.000000E+00   0.143406E+03  -0.286812E+03
   0.100292E+03   0.319262E+00   0.262023E+01   0.373948E-03   0.142308E-03   0.439498E-03   0.146915E+03   0.000000E+00   0.000000E+00   0.146915E+03  -0.293830E+03
   0.100249E+03   0.319262E+00   0.121891E+01   0.373948E-03   0.277332E-03   0.439498E-03   0.147122E+03   0.000000E+00   0.000000E+00   0.147122E+03  -0.294244E+03
   0.100567E+03   0.122182E+01   0.121891E+01   0.373948E-03   0.277332E-03   0.439498E-03   0.148201E+03   0.000000E+00   0.000000E+00   0.148201E+03  -0.296402E+03
   0.100567E+03   0.186829E+01   0.121891E+01   0.373948E-03   0.351465E-03   0.439498E-03   0.148016E+03   0.000000E+00   0.000000E+00   0.148016E+03  -0.296032E+03
   0.100567E+03   0.186829E+01  -0.253432E+01   0.373948E-03   0.351465E-03   0.439498E-03   0.148312E+03   0.000000E+00   0.000000E+00   0.148312E+03  -0.296624E+03
   0.100567E+03   0.186829E+01  -0.253432E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.148614E+03   0.000000E+00   0.000000E+00   0.148614E+03  -0.297228E+03
   0.100567E+03   0.186829E+01  -0.542141E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.148348E+03   0.000000E+00   0.000000E+00   0.148348E+03  -0.296696E+03
   0.100567E+03   0.186829E+01  -0.293297E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.148602E+03   0.000000E+00   0.000000E+00   0.148602E+03  -0.297204E+03
   0.100567E+03   0.589818E+01  -0.140846E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.147013E+03   0.000000E+00   0.000000E+00   0.147013E+03  -0.294026E+03
   0.101781E+03   0.589818E+01  -0.383377E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.145774E+03   0.000000E+00   0.000000E+00   0.145774E+03  -0.291548E+03
   0.101781E+03   0.313159E+01  -0.333472E+01   0.246520E-03   0.351465E-03   0.439498E-03   0.147564E+03   0.000000E+00   0.000000E+00   0.147564E+03  -0.295128E+03
   0.101781E+03   0.313159E+01  -0.972173E+01   0.154515E-03   0.351465E-03   0.439498E-03   0.145356E+03   0.000000E+00   0.000000E+00   0.145356E+03  -0.290712E+03
   0.101640E+03   0.565355E+00  -0.972173E+01   0.154515E-03   0.515003E-03   0.439498E-03   0.145291E+03   0.000000E+00   0.000000E+00   0.145291E+03  -0.290582E+03
   0.999321E+02   0.633854E+01  -0.157286E+00   0.154515E-03   0.515003E-03   0.439498E-03   0.144893E+03   0.000000E+00   0.000000E+00   0.144893E+03  -0.289786E+03
   0.999321E+02   0.633854E+01  -0.629016E+01   0.154515E-03   0.515003E-03   0.439498E-03   0.144614E+03   0.000000E+00   0.000000E+00   0.144614E+03  -0.289228E+03
   0.999321E+02   0.286931E+01  -0.629016E+01   0.444174E-04   0.515003E-03   0.439498E-03   0.146819E+03   0.000000E+00   0.000000E+00   0.146819E+03  -0.293638E+03
   0.999321E+02   0.700684E-01  -0.558727E+01   0.444174E-04   0.515003E-03   0.439498E-03   0.146602E+03   0.000000E+00   0.000000E+00   0.146602E+03  -0.293204E+03
   0.999321E+02  -0.894614E+00  -0.558727E+01   0.444174E-04   0.515003E-03   0.439498E-03   0.146088E+03   0.000000E+00   0.000000E+00   0.146088E+03  -0.292176E+03
   0.999321E+02  -0.894614E+00  -0.504441E+01   0.444174E-04   0.417471E-03   0.439498E-03   0.146408E+03   0.000000E+00   0.000000E+00   0.146408E+03  -0.292816E+03
   0.999321E+02  -0.952292E+00   0.365849E+01   0.444174E-04   0.417471E-03   0.439498E-03   0.144535E+03   0.000000E+00   0.000000E+00   0.144535E+03  -0.289070E+03
   0.100697E+03  -0.952292E+00  -0.631078E+00   0.444174E-04   0.417471E-03   0.439498E-03   0.147684E+03   0.000000E+00   0.000000E+00   0.147684E+03  -0.295368E+03
   0.100535E+03   0.833957E+01  -0.631078E+00   0.444174E-04   0.417471E-03   0.439498E-03   0.144295E+03   0.000000E+00   0.000000E+00   0.144295E+03  -0.288590E+03
   0.101743E+03   0.817513E+01   0.988549E+01   0.444174E-04   0.417471E-03   0.439498E-03   0.143995E+03   0.000000E+00   0.000000E+00   0.143995E+03  -0.287990E+03
   0.101743E+03  -0.371527E+01   0.448808E+01   0.444174E-04   0.417471E-03   0.439498E-03   0.145581E+03   0.000000E+00   0.000000E+00   0.145581E+03  -0.291162E+03
