a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.101504E+03   0.391154E+01   0.769293E+01   0.157956E-02   0.347412E-03   0.105289E-03   0.107122E-02   0.187334E+03
   0.101504E+03   0.391154E+01   0.769293E+01   0.157956E-02   0.347412E-03   0.105289E-03   0.107122E-02   0.187334E+03
   0.101504E+03  -0.218408E+01  -0.267642E+01   0.157956E-02   0.347412E-03   0.105289E-03   0.107122E-02   0.186579E+03
   0.101504E+03  -0.218408E+01  -0.384260E+00   0.157956E-02   0.347412E-03   0.105289E-03   0.107122E-02   0.187188E+03
   0.100342E+03  -0.278390E+01  -0.463338E+01   0.157956E-02   0.347412E-03   0.105289E-03   0.107122E-02   0.186633E+03
   0.100342E+03  -0.278390E+01  -0.721665E+01   0.176423E-03   0.347412E-03   0.105289E-03   0.124847E-02   0.189737E+03
   0.100342E+03  -0.278390E+01   0.211149E+01   0.176423E-03   0.347412E-03   0.105289E-03   0.124847E-02   0.190346E+03
   0.101229E+03  -0.278390E+01   0.211149E+01   0.176423E-03   0.347412E-03   0.105289E-03   0.124847E-02   0.191414E+03
   0.101229E+03  -0.714523E+00   0.128223E+01   0.176423E-03   0.347412E-03   0.105289E-03   0.882436E-03   0.192961E+03
   0.101229E+03   0.239205E+01   0.335246E+01   0.176423E-03   0.347412E-03   0.105289E-03   0.882436E-03   0.193414E+03
   0.100858E+03   0.539171E+00   0.105052E+02   0.176423E-03   0.347412E-03   0.105289E-03   0.882436E-03   0.190391E+03
   0.100858E+03   0.302397E+01   0.936025E+01   0.176423E-03   0.347412E-03   0.105289E-03   0.882436E-03   0.191170E+03
   0.100858E+03   0.302397E+01   0.703096E+01   0.176423E-03   0.173999E-03   0.105289E-03   0.882436E-03   0.192764E+03
   0.100858E+03   0.302397E+01  -0.312589E+01   0.176423E-03   0.173999E-03   0.105289E-03   0.882436E-03   0.193327E+03
   0.100858E+03   0.937832E+00   0.145396E+01   0.176423E-03   0.173999E-03   0.105289E-03   0.113598E-02   0.194326E+03
   0.100858E+03   0.937832E+00   0.145396E+01   0.176423E-03   0.173999E-03   0.105289E-03   0.113598E-02   0.194326E+03
   0.100858E+03   0.937832E+00   0.145396E+01   0.176423E-03   0.173999E-03   0.105289E-03   0.113598E-02   0.194326E+03
   0.100858E+03   0.937832E+00   0.145396E+01   0.176423E-03   0.173999E-03   0.105289E-03   0.113598E-02   0.194326E+03
   0.101493E+03   0.937832E+00   0.621322E+01   0.176423E-03   0.173999E-03   0.105289E-03   0.113598E-02   0.193653E+03
   0.101493E+03  -0.294560E+00   0.579298E+01   0.176423E-03   0.173999E-03   0.105289E-03   0.113598E-02   0.193344E+03
   0.101493E+03  -0.294560E+00   0.579298E+01   0.176423E-03   0.173999E-03   0.105289E-03   0.113598E-02   0.193344E+03
   0.101493E+03  -0.294560E+00   0.679149E+01   0.176423E-03   0.173999E-03   0.105289E-03   0.139553E-02   0.192598E+03
   0.101493E+03  -0.294560E+00   0.267798E+01   0.176423E-03   0.173999E-03   0.105289E-03   0.163727E-02   0.192714E+03
   0.101493E+03   0.469016E+01   0.267798E+01   0.597980E-03   0.173999E-03   0.105289E-03   0.163727E-02   0.190512E+03
   0.101493E+03   0.469016E+01   0.267798E+01   0.597980E-03   0.985563E-04   0.608022E-04   0.163727E-02   0.190728E+03
   0.101007E+03   0.469016E+01   0.267798E+01   0.597980E-03   0.985563E-04   0.608022E-04   0.163727E-02   0.190822E+03
   0.101007E+03   0.469016E+01   0.260623E+01   0.597980E-03   0.985563E-04   0.608022E-04   0.185811E-02   0.190218E+03
   0.101007E+03  -0.201380E+01   0.260623E+01   0.597980E-03   0.985563E-04   0.608022E-04   0.185811E-02   0.190121E+03
   0.101007E+03  -0.201380E+01  -0.325258E+01   0.401893E-03   0.985563E-04   0.608022E-04   0.161174E-02   0.191122E+03
   0.100888E+03   0.108719E+01  -0.272372E+01   0.401893E-03   0.409139E-03   0.608022E-04   0.161174E-02   0.191606E+03
   0.100888E+03   0.108719E+01  -0.272372E+01   0.401893E-03   0.409139E-03   0.608022E-04   0.208509E-02   0.190365E+03
   0.100888E+03   0.108719E+01   0.578656E+01   0.401893E-03   0.409139E-03   0.608022E-04   0.139633E-02   0.191785E+03
   0.100888E+03   0.108719E+01   0.468962E+01   0.401893E-03   0.409139E-03   0.370066E-04   0.139633E-02   0.192142E+03
   0.100888E+03   0.200502E+01   0.506006E+01   0.401893E-03   0.585860E-03   0.370066E-04   0.139633E-02   0.191122E+03
   0.100888E+03   0.163785E+01  -0.627634E+00   0.401893E-03   0.659994E-03   0.370066E-04   0.139633E-02   0.190902E+03
   0.100263E+03   0.163785E+01  -0.627634E+00   0.401893E-03   0.659994E-03   0.370066E-04   0.139633E-02   0.190888E+03
   0.100263E+03   0.163785E+01  -0.627634E+00   0.401893E-03   0.487333E-03   0.370066E-04   0.897607E-03   0.192577E+03
   0.100263E+03   0.163785E+01  -0.627634E+00   0.115969E-03   0.487333E-03   0.370066E-04   0.897607E-03   0.193120E+03
   0.100263E+03   0.163785E+01   0.163459E+01   0.115969E-03   0.487333E-03   0.370066E-04   0.119615E-02   0.192609E+03
   0.100263E+03   0.189738E+01   0.163459E+01   0.115969E-03   0.188240E-03   0.389598E-03   0.119615E-02   0.191994E+03
   0.100263E+03   0.356178E+01   0.163459E+01   0.281337E-03   0.188240E-03   0.389598E-03   0.119615E-02   0.191594E+03
   0.101195E+03   0.356178E+01   0.138217E+01   0.281337E-03   0.188240E-03   0.389598E-03   0.253797E-02   0.189188E+03
   0.101559E+03   0.480509E+01   0.138217E+01   0.281337E-03   0.188240E-03   0.389598E-03   0.103336E-02   0.191590E+03
   0.101559E+03   0.246202E+01   0.836523E+01   0.281337E-03   0.188240E-03   0.389598E-03   0.103336E-02   0.191686E+03
   0.101559E+03   0.246202E+01   0.480289E+01   0.281337E-03   0.188240E-03   0.389598E-03   0.103336E-02   0.192490E+03
   0.101559E+03   0.215997E+01   0.103428E+01   0.281337E-03   0.188240E-03   0.389598E-03   0.103336E-02   0.192444E+03
   0.102076E+03   0.215997E+01  -0.650849E+01   0.281337E-03   0.188240E-03   0.379714E-04   0.103336E-02   0.187818E+03
   0.102076E+03   0.215997E+01  -0.367555E+01   0.281337E-03   0.188240E-03   0.379714E-04   0.134771E-02   0.189707E+03
   0.102076E+03   0.215997E+01   0.671803E+01   0.281337E-03   0.907083E-04   0.379714E-04   0.134771E-02   0.192780E+03
   0.102076E+03   0.215997E+01   0.671803E+01   0.281337E-03   0.907083E-04   0.379714E-04   0.134771E-02   0.192780E+03
   0.102076E+03   0.215997E+01   0.671803E+01   0.200350E-03   0.907083E-04   0.379714E-04   0.134771E-02   0.192912E+03
   0.102076E+03   0.215997E+01   0.671803E+01   0.200350E-03   0.907083E-04   0.379714E-04   0.134771E-02   0.192912E+03
