a0_min_r_1     a0_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.113447E+03   0.399974E+02   0.771399E-04   0.806877E+01   0.960538E+01   0.167053E+02   0.114340E+02   0.494764E+02  -0.850254E+01   0.000000E+00   0.579789E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.771072E+01   0.960538E+01   0.174434E+02   0.118293E+02   0.492518E+02  -0.872715E+01   0.000000E+00   0.579790E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.834219E+01   0.104302E+02   0.159467E+02   0.119367E+02   0.498941E+02  -0.808485E+01   0.000000E+00   0.579790E+02  -0.115958E+03
   0.113447E+03   0.399974E+02   0.771399E-04   0.101157E+02   0.104302E+02   0.148724E+02   0.157224E+02   0.505752E+02  -0.740379E+01   0.000000E+00   0.579790E+02  -0.115958E+03
   0.112377E+03   0.399974E+02   0.771399E-04   0.965696E+01   0.123573E+02   0.154152E+02   0.146757E+02   0.497013E+02  -0.803201E+01   0.000000E+00   0.577333E+02  -0.115467E+03
   0.112377E+03   0.399974E+02   0.771399E-04   0.104115E+02   0.115703E+02   0.180159E+02   0.143351E+02   0.494185E+02  -0.831482E+01   0.000000E+00   0.577333E+02  -0.115467E+03
   0.112966E+03   0.399974E+02   0.771399E-04   0.102444E+02   0.111877E+02   0.183562E+02   0.155589E+02   0.498479E+02  -0.832524E+01   0.000000E+00   0.581731E+02  -0.116346E+03
   0.112966E+03   0.399974E+02   0.771399E-04   0.102444E+02   0.110808E+02   0.191415E+02   0.155589E+02   0.496080E+02  -0.856515E+01   0.000000E+00   0.581731E+02  -0.116346E+03
   0.112966E+03   0.399974E+02   0.771399E-04   0.100520E+02   0.961462E+01   0.176365E+02   0.146173E+02   0.504562E+02  -0.771695E+01   0.000000E+00   0.581732E+02  -0.116346E+03
   0.112966E+03   0.399974E+02   0.771399E-04   0.844620E+01   0.100597E+02   0.177459E+02   0.150997E+02   0.501914E+02  -0.798177E+01   0.000000E+00   0.581732E+02  -0.116346E+03
   0.112966E+03   0.399974E+02   0.771399E-04   0.844620E+01   0.100578E+02   0.170933E+02   0.120498E+02   0.499956E+02  -0.817752E+01   0.000000E+00   0.581731E+02  -0.116346E+03
