a0_min         a0_flood       a1_flood       a2_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.147238E+03   0.243152E+02   0.461616E+00   0.129608E+00   0.332167E-02   0.112594E+02   0.856123E+01   0.819881E+01   0.122506E+02   0.720987E+02  -0.790159E+01   0.000000E+00   0.800003E+02  -0.160001E+03
   0.162314E+03   0.277761E+02   0.395068E+00   0.175014E+00   0.332167E-02   0.103688E+02   0.814519E+01   0.107456E+02   0.129797E+02   0.718261E+02  -0.806949E+01   0.000000E+00   0.798956E+02  -0.159791E+03
   0.156465E+03   0.318034E+02   0.344811E+00   0.685056E-01   0.598629E-02   0.106226E+02   0.808983E+01   0.109789E+02   0.128970E+02   0.710636E+02  -0.816992E+01   0.000000E+00   0.792335E+02  -0.158467E+03
   0.165152E+03   0.306883E+02   0.113785E+00   0.356935E-01   0.188799E-02   0.109252E+02   0.737279E+01   0.919073E+01   0.128970E+02   0.713988E+02  -0.855921E+01   0.000000E+00   0.799580E+02  -0.159916E+03
   0.173116E+03   0.295407E+02   0.113785E+00  -0.131927E+00   0.343865E-02   0.956013E+01   0.680865E+01   0.107765E+02   0.129466E+02   0.704886E+02  -0.912781E+01   0.000000E+00   0.796164E+02  -0.159233E+03
   0.170256E+03   0.263300E+02   0.100466E+00  -0.109599E+00   0.343865E-02   0.103227E+02   0.761839E+01   0.104824E+02   0.124253E+02   0.717766E+02  -0.802706E+01   0.000000E+00   0.798037E+02  -0.159607E+03
   0.158187E+03   0.248800E+02   0.256786E+00   0.264914E-01   0.283663E-02   0.108479E+02   0.654391E+01   0.111524E+02   0.124253E+02   0.705769E+02  -0.950055E+01   0.000000E+00   0.800775E+02  -0.160155E+03
   0.146703E+03   0.232582E+02   0.190557E+00  -0.235478E+00   0.361861E-02   0.100077E+02   0.654391E+01   0.108273E+02   0.126114E+02   0.705410E+02  -0.933617E+01   0.000000E+00   0.798772E+02  -0.159754E+03
   0.147301E+03   0.213094E+02   0.225376E+00  -0.278750E+00   0.361861E-02   0.966885E+01   0.656805E+01   0.115840E+02   0.126665E+02   0.702519E+02  -0.956943E+01   0.000000E+00   0.798213E+02  -0.159643E+03
   0.147301E+03   0.173312E+02   0.151604E+00  -0.448086E+00   0.198633E-02   0.894447E+01   0.677220E+01   0.110997E+02   0.124011E+02   0.707570E+02  -0.903597E+01   0.000000E+00   0.797930E+02  -0.159586E+03
   0.149306E+03   0.194584E+02   0.161396E+00  -0.610819E+00   0.198633E-02   0.894447E+01   0.700219E+01   0.110997E+02   0.110748E+02   0.717805E+02  -0.819616E+01   0.000000E+00   0.799767E+02  -0.159953E+03
   0.169841E+03   0.179157E+02   0.148734E+00  -0.434558E+00   0.242598E-02   0.861310E+01   0.761087E+01   0.106073E+02   0.110748E+02   0.725458E+02  -0.757110E+01   0.000000E+00   0.801169E+02  -0.160234E+03
   0.182285E+03   0.195847E+02   0.226821E+00  -0.167570E+00   0.242598E-02   0.822557E+01   0.870073E+01   0.123084E+02   0.120745E+02   0.718027E+02  -0.821255E+01   0.000000E+00   0.800153E+02  -0.160031E+03
   0.188906E+03   0.174098E+02   0.607848E+00  -0.336857E+00   0.531743E-02   0.850042E+01   0.998682E+01   0.122761E+02   0.123196E+02   0.713072E+02  -0.809783E+01   0.000000E+00   0.794050E+02  -0.158810E+03
   0.190961E+03   0.127320E+02   0.536002E+00  -0.110211E+00   0.725568E-02   0.831952E+01   0.945487E+01   0.120089E+02   0.128018E+02   0.706449E+02  -0.828228E+01   0.000000E+00   0.789272E+02  -0.157854E+03
   0.192166E+03   0.124270E+02   0.580408E+00  -0.485286E+00   0.853553E-02   0.873547E+01   0.946473E+01   0.120089E+02   0.129795E+02   0.701789E+02  -0.823730E+01   0.000000E+00   0.784162E+02  -0.156832E+03
   0.175943E+03   0.158740E+02   0.630631E+00  -0.728702E+00   0.250293E-02   0.787033E+01   0.794084E+01   0.120196E+02   0.122146E+02   0.714261E+02  -0.866694E+01   0.000000E+00   0.800930E+02  -0.160186E+03
   0.170001E+03   0.206108E+02   0.708338E+00  -0.946763E+00   0.218062E-02   0.723761E+01   0.794084E+01   0.120196E+02   0.117041E+02   0.711609E+02  -0.893928E+01   0.000000E+00   0.801002E+02  -0.160200E+03
   0.162417E+03   0.162181E+02   0.879837E+00  -0.114885E+01   0.477851E-02   0.814677E+01   0.871614E+01   0.100090E+02   0.117042E+02   0.722235E+02  -0.733492E+01   0.000000E+00   0.795584E+02  -0.159117E+03
   0.166603E+03   0.140042E+02   0.782774E+00  -0.129847E+01   0.477851E-02   0.910061E+01   0.837303E+01   0.970490E+01   0.109478E+02   0.726377E+02  -0.685600E+01   0.000000E+00   0.794937E+02  -0.158987E+03
   0.166264E+03   0.101013E+02   0.863381E+00  -0.125311E+01   0.253091E-02   0.754602E+01   0.836488E+01   0.886413E+01   0.112482E+02   0.718307E+02  -0.772940E+01   0.000000E+00   0.795601E+02  -0.159120E+03
   0.153104E+03   0.117294E+02   0.105368E+01  -0.121434E+01   0.405538E-03   0.849333E+01   0.836488E+01   0.918283E+01   0.112482E+02   0.723409E+02  -0.713448E+01   0.000000E+00   0.794754E+02  -0.158951E+03
   0.153104E+03   0.149662E+02   0.945154E+00  -0.124705E+01   0.377882E-02   0.932989E+01   0.925304E+01   0.914535E+01   0.101763E+02   0.730260E+02  -0.646855E+01   0.000000E+00   0.794945E+02  -0.158989E+03
   0.153104E+03   0.141190E+02   0.115721E+01  -0.106952E+01   0.602125E-02   0.947441E+01   0.103250E+02   0.934490E+01   0.920709E+01   0.724530E+02  -0.646788E+01   0.000000E+00   0.789209E+02  -0.157842E+03
   0.162674E+03   0.166350E+02   0.131301E+01  -0.101127E+01   0.602125E-02   0.862703E+01   0.903608E+01   0.105046E+02   0.889010E+01   0.725350E+02  -0.673524E+01   0.000000E+00   0.792702E+02  -0.158540E+03
   0.172037E+03   0.131967E+02   0.131224E+01  -0.121564E+01   0.602125E-02   0.814656E+01   0.803463E+01   0.114936E+02   0.840468E+01   0.715035E+02  -0.773354E+01   0.000000E+00   0.792370E+02  -0.158474E+03
   0.176392E+03   0.191253E+02   0.167281E+01  -0.172768E+01   0.778441E-02   0.957031E+01   0.802350E+01   0.113073E+02   0.900365E+01   0.714481E+02  -0.715878E+01   0.000000E+00   0.786069E+02  -0.157214E+03
   0.175943E+03   0.173571E+02   0.153077E+01  -0.141801E+01   0.411166E-02   0.975719E+01   0.878960E+01   0.108319E+02   0.993081E+01   0.730946E+02  -0.666375E+01   0.000000E+00   0.797584E+02  -0.159517E+03
   0.182918E+03   0.168973E+02   0.189829E+01  -0.129137E+01   0.309409E-02   0.102715E+02   0.878960E+01   0.103635E+02   0.103874E+02   0.732283E+02  -0.667086E+01   0.000000E+00   0.798992E+02  -0.159798E+03
   0.192009E+03   0.136598E+02   0.172867E+01  -0.111933E+01   0.629841E-02   0.100140E+02   0.974221E+01   0.103635E+02   0.106674E+02   0.725505E+02  -0.660060E+01   0.000000E+00   0.791511E+02  -0.158302E+03
   0.188403E+03   0.113431E+02   0.190547E+01  -0.816168E+00   0.176677E-02   0.106890E+02   0.974221E+01   0.934583E+01   0.969935E+01   0.736695E+02  -0.652356E+01   0.000000E+00   0.801931E+02  -0.160386E+03
   0.182529E+03   0.133889E+02   0.196972E+01  -0.119191E+01   0.303499E-02   0.106890E+02   0.118056E+02   0.835232E+01   0.969935E+01   0.727106E+02  -0.728714E+01   0.000000E+00   0.799977E+02  -0.159995E+03
   0.196182E+03   0.154517E+02   0.168206E+01  -0.893020E+00   0.303499E-02   0.102235E+02   0.115430E+02   0.722587E+01   0.902780E+01   0.719102E+02  -0.790063E+01   0.000000E+00   0.798108E+02  -0.159622E+03
   0.183168E+03   0.179620E+02   0.209523E+01  -0.102914E+01   0.396387E-02   0.993783E+01   0.117165E+02   0.688853E+01   0.901864E+01   0.713848E+02  -0.830861E+01   0.000000E+00   0.796934E+02  -0.159387E+03
   0.207380E+03   0.206187E+02   0.201517E+01  -0.989844E+00   0.498388E-02   0.110495E+02   0.121050E+02   0.688853E+01   0.943840E+01   0.701145E+02  -0.866765E+01   0.000000E+00   0.787822E+02  -0.157564E+03
   0.207380E+03   0.206187E+02   0.202948E+01  -0.116179E+01   0.398198E-02   0.114737E+02   0.115877E+02   0.688853E+01   0.914876E+01   0.703925E+02  -0.861466E+01   0.000000E+00   0.790072E+02  -0.158014E+03
   0.221676E+03   0.165960E+02   0.226648E+01  -0.947633E+00   0.398198E-02   0.114343E+02   0.991320E+01   0.688853E+01   0.102991E+02   0.707307E+02  -0.820334E+01   0.000000E+00   0.789340E+02  -0.157868E+03
   0.208221E+03   0.185309E+02   0.240661E+01  -0.100154E+01   0.391596E-02   0.109425E+02   0.991320E+01   0.722542E+01   0.108544E+02   0.713142E+02  -0.779322E+01   0.000000E+00   0.791074E+02  -0.158215E+03
   0.220878E+03   0.186473E+02   0.245239E+01  -0.102680E+01   0.267544E-02   0.108101E+02   0.114432E+02   0.647788E+01   0.108544E+02   0.698929E+02  -0.905242E+01   0.000000E+00   0.789453E+02  -0.157891E+03
   0.225796E+03   0.218808E+02   0.251072E+01  -0.813867E+00   0.159616E-02   0.107300E+02   0.117176E+02   0.801313E+01   0.951425E+01   0.711265E+02  -0.742641E+01   0.000000E+00   0.785529E+02  -0.157106E+03
   0.224615E+03   0.181404E+02   0.240366E+01  -0.887004E+00   0.437117E-02   0.107300E+02   0.121569E+02   0.746713E+01   0.102467E+02   0.705388E+02  -0.805907E+01   0.000000E+00   0.785979E+02  -0.157196E+03
   0.235166E+03   0.181794E+02   0.234299E+01  -0.108668E+01   0.533161E-02   0.104935E+02   0.117932E+02   0.630779E+01   0.117201E+02   0.684042E+02  -0.969754E+01   0.000000E+00   0.781017E+02  -0.156203E+03
   0.241480E+03   0.154628E+02   0.232352E+01  -0.997928E+00   0.454468E-02   0.991774E+01   0.112350E+02   0.642238E+01   0.117201E+02   0.691960E+02  -0.920857E+01   0.000000E+00   0.784046E+02  -0.156809E+03
   0.230009E+03   0.131476E+02   0.224128E+01  -0.115292E+01   0.312967E-02   0.102379E+02   0.103152E+02   0.642238E+01   0.117201E+02   0.702331E+02  -0.900352E+01   0.000000E+00   0.792366E+02  -0.158473E+03
   0.236638E+03   0.699746E+01   0.233406E+01  -0.135150E+01   0.336413E-02   0.830091E+01   0.991715E+01   0.822354E+01   0.117201E+02   0.722746E+02  -0.744434E+01   0.000000E+00   0.797189E+02  -0.159438E+03
   0.225474E+03   0.699746E+01   0.224727E+01  -0.126180E+01   0.396609E-02   0.975137E+01   0.102993E+02   0.959717E+01   0.108321E+02   0.731318E+02  -0.661125E+01   0.000000E+00   0.797431E+02  -0.159486E+03
   0.219910E+03   0.560864E+01   0.197043E+01  -0.159441E+01   0.446250E-02   0.106751E+02   0.110390E+02   0.959717E+01   0.117474E+02   0.724446E+02  -0.725327E+01   0.000000E+00   0.796979E+02  -0.159396E+03
   0.221231E+03   0.704939E+01   0.233417E+01  -0.131100E+01   0.472998E-02   0.110775E+02   0.116456E+02   0.103479E+02   0.111048E+02   0.721844E+02  -0.741490E+01   0.000000E+00   0.795993E+02  -0.159199E+03
   0.209406E+03   0.710740E+01   0.230059E+01  -0.162555E+01   0.702474E-02   0.100565E+02   0.125837E+02   0.108787E+02   0.102457E+02   0.714026E+02  -0.754892E+01   0.000000E+00   0.789515E+02  -0.157903E+03
   0.211609E+03   0.517736E+01   0.209909E+01  -0.174928E+01   0.702474E-02   0.100565E+02   0.128339E+02   0.101720E+02   0.944428E+01   0.714193E+02  -0.748641E+01   0.000000E+00   0.789057E+02  -0.157811E+03
   0.210860E+03   0.602913E+01   0.215248E+01  -0.196849E+01   0.702474E-02   0.981800E+01   0.134386E+02   0.108826E+02   0.944428E+01   0.709307E+02  -0.797927E+01   0.000000E+00   0.789100E+02  -0.157820E+03
   0.204927E+03   0.602913E+01   0.218128E+01  -0.187134E+01   0.702474E-02   0.969865E+01   0.134386E+02   0.108826E+02   0.823389E+01   0.706232E+02  -0.826855E+01   0.000000E+00   0.788917E+02  -0.157783E+03
   0.207317E+03   0.799554E+01   0.196840E+01  -0.148314E+01   0.702474E-02   0.830628E+01   0.114625E+02   0.101125E+02   0.920103E+01   0.718698E+02  -0.707878E+01   0.000000E+00   0.789486E+02  -0.157897E+03
   0.219254E+03   0.799554E+01   0.181882E+01  -0.158848E+01   0.702474E-02   0.809315E+01   0.114625E+02   0.101498E+02   0.943972E+01   0.717166E+02  -0.716720E+01   0.000000E+00   0.788838E+02  -0.157768E+03
   0.224628E+03   0.816897E+01   0.181882E+01  -0.141007E+01   0.538558E-02   0.809315E+01   0.114625E+02   0.101498E+02   0.838956E+01   0.719489E+02  -0.739313E+01   0.000000E+00   0.793420E+02  -0.158684E+03
   0.241527E+03   0.861953E+01   0.175371E+01  -0.108085E+01   0.672768E-02   0.833275E+01   0.116289E+02   0.933273E+01   0.825991E+01   0.713048E+02  -0.737357E+01   0.000000E+00   0.786784E+02  -0.157357E+03
   0.249707E+03   0.969508E+01   0.169231E+01  -0.113196E+01   0.893971E-02   0.975761E+01   0.101353E+02   0.933273E+01   0.934383E+01   0.711949E+02  -0.642729E+01   0.000000E+00   0.776222E+02  -0.155244E+03
   0.249707E+03   0.104030E+02   0.160005E+01  -0.119951E+01   0.741058E-02   0.975761E+01   0.933708E+01   0.881992E+01   0.912746E+01   0.716229E+02  -0.650598E+01   0.000000E+00   0.781289E+02  -0.156258E+03
   0.236599E+03   0.130793E+02   0.173724E+01  -0.134262E+01   0.741058E-02   0.955119E+01   0.938071E+01   0.962088E+01   0.981487E+01   0.717110E+02  -0.638164E+01   0.000000E+00   0.780926E+02  -0.156185E+03
   0.235080E+03   0.119316E+02   0.177849E+01  -0.119428E+01   0.998370E-02   0.102552E+02   0.938071E+01   0.116381E+02   0.985078E+01   0.703178E+02  -0.689579E+01   0.000000E+00   0.772136E+02  -0.154427E+03
   0.218841E+03   0.122992E+02   0.188930E+01  -0.125412E+01   0.903723E-02   0.120462E+02   0.852333E+01   0.113689E+02   0.985078E+01   0.703042E+02  -0.754889E+01   0.000000E+00   0.778531E+02  -0.155706E+03
   0.204278E+03   0.144787E+02   0.159734E+01  -0.117321E+01   0.923609E-02   0.120462E+02   0.875797E+01   0.114881E+02   0.879130E+01   0.702666E+02  -0.761286E+01   0.000000E+00   0.778795E+02  -0.155759E+03
   0.206352E+03   0.146664E+02   0.133694E+01  -0.136272E+01   0.813788E-02   0.132668E+02   0.100274E+02   0.107942E+02   0.777794E+01   0.698792E+02  -0.842019E+01   0.000000E+00   0.782994E+02  -0.156599E+03
   0.203564E+03   0.148458E+02   0.146981E+01  -0.113548E+01   0.715446E-02   0.138643E+02   0.102559E+02   0.120085E+02   0.802823E+01   0.695546E+02  -0.912782E+01   0.000000E+00   0.786824E+02  -0.157365E+03
   0.207039E+03   0.148458E+02   0.169837E+01  -0.996329E+00   0.526746E-02   0.138907E+02   0.104033E+02   0.121979E+02   0.802823E+01   0.699220E+02  -0.926145E+01   0.000000E+00   0.791835E+02  -0.158367E+03
   0.213485E+03   0.147536E+02   0.190336E+01  -0.115956E+01   0.526746E-02   0.141467E+02   0.913599E+01   0.115422E+02   0.802823E+01   0.699518E+02  -0.909501E+01   0.000000E+00   0.790468E+02  -0.158094E+03
   0.224812E+03   0.136250E+02   0.148158E+01  -0.112888E+01   0.526746E-02   0.141491E+02   0.106444E+02   0.102864E+02   0.976135E+01   0.705267E+02  -0.843363E+01   0.000000E+00   0.789603E+02  -0.157921E+03
   0.235027E+03   0.123958E+02   0.172367E+01  -0.118884E+01   0.526746E-02   0.124180E+02   0.110708E+02   0.858470E+01   0.100984E+02   0.712043E+02  -0.763171E+01   0.000000E+00   0.788360E+02  -0.157672E+03
   0.219024E+03   0.126697E+02   0.172751E+01  -0.172774E+01   0.229723E-02   0.107427E+02   0.110708E+02   0.843711E+01   0.110649E+02   0.724648E+02  -0.723548E+01   0.000000E+00   0.797003E+02  -0.159401E+03
   0.213674E+03   0.102773E+02   0.180961E+01  -0.156740E+01   0.226040E-02   0.107427E+02   0.884819E+01   0.874032E+01   0.121740E+02   0.725251E+02  -0.742135E+01   0.000000E+00   0.799464E+02  -0.159893E+03
   0.223849E+03   0.102773E+02   0.177131E+01  -0.181375E+01   0.345537E-02   0.118104E+02   0.108504E+02   0.878681E+01   0.126592E+02   0.714943E+02  -0.813628E+01   0.000000E+00   0.796306E+02  -0.159261E+03
   0.210719E+03   0.104324E+02   0.175256E+01  -0.171310E+01   0.512819E-02   0.107522E+02   0.121576E+02   0.789553E+01   0.148228E+02   0.693651E+02  -0.100506E+02   0.000000E+00   0.794157E+02  -0.158831E+03
   0.210719E+03   0.113749E+02   0.141908E+01  -0.150318E+01   0.319151E-02   0.113867E+02   0.961743E+01   0.789553E+01   0.145303E+02   0.704595E+02  -0.934947E+01   0.000000E+00   0.798090E+02  -0.159618E+03
   0.200050E+03   0.109652E+02   0.153313E+01  -0.164798E+01   0.271621E-02   0.102270E+02   0.100546E+02   0.757773E+01   0.119811E+02   0.722254E+02  -0.775632E+01   0.000000E+00   0.799817E+02  -0.159963E+03
   0.200050E+03   0.128866E+02   0.144713E+01  -0.178115E+01   0.463139E-02   0.108010E+02   0.100546E+02   0.721189E+01   0.122034E+02   0.712406E+02  -0.830878E+01   0.000000E+00   0.795494E+02  -0.159099E+03
   0.198376E+03   0.111120E+02   0.136802E+01  -0.152933E+01   0.295168E-02   0.105027E+02   0.104438E+02   0.721189E+01   0.969238E+01   0.723758E+02  -0.758398E+01   0.000000E+00   0.799598E+02  -0.159920E+03
   0.212214E+03   0.126365E+02   0.119346E+01  -0.168594E+01   0.295168E-02   0.889466E+01   0.108105E+02   0.709338E+01   0.871125E+01   0.718793E+02  -0.788736E+01   0.000000E+00   0.797667E+02  -0.159533E+03
   0.217969E+03   0.156741E+02   0.666605E+00  -0.168687E+01   0.295168E-02   0.891572E+01   0.111264E+02   0.774658E+01   0.871125E+01   0.721077E+02  -0.740695E+01   0.000000E+00   0.795146E+02  -0.159029E+03
   0.219683E+03   0.138557E+02   0.742935E+00  -0.184024E+01   0.650005E-02   0.831585E+01   0.120229E+02   0.902357E+01   0.871125E+01   0.713405E+02  -0.742673E+01   0.000000E+00   0.787672E+02  -0.157534E+03
   0.203791E+03   0.174472E+02   0.937768E+00  -0.168827E+01   0.430259E-02   0.773661E+01   0.105402E+02   0.905123E+01   0.871125E+01   0.721551E+02  -0.722662E+01   0.000000E+00   0.793817E+02  -0.158763E+03
   0.203378E+03   0.197445E+02   0.106221E+01  -0.157081E+01   0.284676E-02   0.731212E+01   0.105396E+02   0.938025E+01   0.871125E+01   0.719631E+02  -0.753455E+01   0.000000E+00   0.794977E+02  -0.158995E+03
   0.198425E+03   0.186102E+02   0.699975E+00  -0.212795E+01   0.530961E-03   0.731212E+01   0.109694E+02   0.940726E+01   0.892810E+01   0.723087E+02  -0.759272E+01   0.000000E+00   0.799014E+02  -0.159803E+03
   0.191185E+03   0.137737E+02   0.147538E+01  -0.187587E+01   0.530961E-03   0.731212E+01   0.109694E+02   0.989091E+01   0.941885E+01   0.726115E+02  -0.753531E+01   0.000000E+00   0.801468E+02  -0.160294E+03
   0.179682E+03   0.146971E+02   0.151559E+01  -0.187388E+01   0.530961E-03   0.701841E+01   0.106954E+02   0.976358E+01   0.104614E+02   0.723420E+02  -0.783867E+01   0.000000E+00   0.801807E+02  -0.160361E+03
   0.185272E+03   0.123027E+02   0.150256E+01  -0.167226E+01   0.530961E-03   0.925780E+01   0.106954E+02   0.988013E+01   0.108662E+02   0.734644E+02  -0.672838E+01   0.000000E+00   0.801928E+02  -0.160386E+03
   0.172623E+03   0.141026E+02   0.154860E+01  -0.187293E+01   0.530961E-03   0.107882E+02   0.106954E+02   0.974894E+01   0.109852E+02   0.732457E+02  -0.690687E+01   0.000000E+00   0.801526E+02  -0.160305E+03
   0.164537E+03   0.110556E+02   0.199938E+01  -0.168068E+01   0.400947E-04   0.118179E+02   0.109029E+02   0.781178E+01   0.135340E+02   0.708050E+02  -0.910668E+01   0.000000E+00   0.799117E+02  -0.159823E+03
   0.156441E+03   0.110556E+02   0.196642E+01  -0.184788E+01   0.862008E-03   0.117740E+02   0.122489E+02   0.912781E+01   0.131510E+02   0.706867E+02  -0.888684E+01   0.000000E+00   0.795735E+02  -0.159147E+03
   0.156246E+03   0.975460E+01   0.199336E+01  -0.152732E+01   0.374470E-02   0.120301E+02   0.122171E+02   0.980703E+01   0.130758E+02   0.701680E+02  -0.891412E+01   0.000000E+00   0.790821E+02  -0.158164E+03
   0.156246E+03   0.123610E+02   0.209155E+01  -0.130414E+01   0.476917E-02   0.127167E+02   0.137002E+02   0.120628E+02   0.130758E+02   0.685279E+02  -0.107588E+02   0.000000E+00   0.792867E+02  -0.158573E+03
   0.161350E+03   0.161607E+02   0.222168E+01  -0.136899E+01   0.476917E-02   0.125313E+02   0.137761E+02   0.109848E+02   0.130758E+02   0.693218E+02  -0.102850E+02   0.000000E+00   0.796068E+02  -0.159214E+03
   0.150371E+03   0.198002E+02   0.203887E+01  -0.142166E+01   0.186581E-02   0.134338E+02   0.139055E+02   0.101429E+02   0.128827E+02   0.694865E+02  -0.105932E+02   0.000000E+00   0.800797E+02  -0.160159E+03
   0.139843E+03   0.186022E+02   0.182527E+01  -0.136558E+01   0.112079E-02   0.123069E+02   0.117733E+02   0.105832E+02   0.129551E+02   0.709131E+02  -0.888453E+01   0.000000E+00   0.797976E+02  -0.159595E+03
   0.127881E+03   0.188135E+02   0.156355E+01  -0.143997E+01   0.112079E-02   0.114885E+02   0.137227E+02   0.894694E+01   0.134567E+02   0.692977E+02  -0.983834E+01   0.000000E+00   0.791360E+02  -0.158272E+03
   0.125885E+03   0.177667E+02   0.139953E+01  -0.126127E+01   0.170392E-02   0.111938E+02   0.137892E+02   0.854077E+01   0.128988E+02   0.692231E+02  -0.954958E+01   0.000000E+00   0.787727E+02  -0.157545E+03
   0.125885E+03   0.185233E+02   0.146588E+01  -0.125121E+01   0.170392E-02   0.103980E+02   0.149094E+02   0.938281E+01   0.109864E+02   0.698282E+02  -0.909161E+01   0.000000E+00   0.789198E+02  -0.157840E+03
   0.125885E+03   0.281792E+02   0.149773E+01  -0.130299E+01   0.170392E-02   0.962984E+01   0.177154E+02   0.974705E+01   0.118474E+02   0.682709E+02  -0.115992E+02   0.000000E+00   0.798701E+02  -0.159740E+03
   0.123730E+03   0.309258E+02   0.147300E+01  -0.173598E+01   0.131106E-02   0.962984E+01   0.175076E+02   0.924381E+01   0.118474E+02   0.684884E+02  -0.114366E+02   0.000000E+00   0.799250E+02  -0.159850E+03
   0.128539E+03   0.333655E+02   0.120520E+01  -0.135272E+01   0.131106E-02   0.100454E+02   0.175076E+02   0.888485E+01   0.110140E+02   0.689325E+02  -0.112036E+02   0.000000E+00   0.801361E+02  -0.160272E+03
   0.123074E+03   0.325439E+02   0.122320E+01  -0.146194E+01   0.131106E-02   0.984169E+01   0.168749E+02   0.879650E+01   0.110140E+02   0.693132E+02  -0.106716E+02   0.000000E+00   0.799848E+02  -0.159970E+03
   0.134113E+03   0.343936E+02   0.139490E+01  -0.155568E+01   0.381516E-02   0.857449E+01   0.170155E+02   0.879650E+01   0.996480E+01   0.691237E+02  -0.107274E+02   0.000000E+00   0.798511E+02  -0.159702E+03
   0.125972E+03   0.353959E+02   0.152311E+01  -0.187718E+01   0.780719E-02   0.837258E+01   0.180797E+02   0.814785E+01   0.119843E+02   0.660611E+02  -0.125513E+02   0.000000E+00   0.786124E+02  -0.157225E+03
   0.125972E+03   0.340341E+02   0.161895E+01  -0.187718E+01   0.582892E-02   0.901289E+01   0.180797E+02   0.721349E+01   0.115224E+02   0.663971E+02  -0.128552E+02   0.000000E+00   0.792523E+02  -0.158505E+03
   0.153815E+03   0.302083E+02   0.181507E+01  -0.210395E+01   0.920988E-02   0.931571E+01   0.187568E+02   0.721349E+01   0.113239E+02   0.646876E+02  -0.133388E+02   0.000000E+00   0.780264E+02  -0.156053E+03
   0.143646E+03   0.275293E+02   0.149271E+01  -0.213830E+01   0.332048E-02   0.930463E+01   0.187568E+02   0.638716E+01   0.118041E+02   0.653014E+02  -0.145888E+02   0.000000E+00   0.798902E+02  -0.159780E+03
   0.137482E+03   0.341365E+02   0.169823E+01  -0.229821E+01   0.332048E-02   0.997023E+01   0.157817E+02   0.638716E+01   0.124462E+02   0.675279E+02  -0.123852E+02   0.000000E+00   0.799131E+02  -0.159826E+03
   0.157095E+03   0.391557E+02   0.126323E+01  -0.258680E+01   0.136074E-02   0.107666E+02   0.157817E+02   0.628954E+01   0.110032E+02   0.677133E+02  -0.120827E+02   0.000000E+00   0.797960E+02  -0.159592E+03
   0.152693E+03   0.450277E+02   0.151823E+01  -0.242784E+01   0.236071E-02   0.107131E+02   0.161171E+02   0.656908E+01   0.835308E+01   0.676710E+02  -0.119133E+02   0.000000E+00   0.795843E+02  -0.159169E+03
   0.143054E+03   0.491392E+02   0.168672E+01  -0.195205E+01   0.889168E-03   0.104878E+02   0.150610E+02   0.700528E+01   0.796059E+01   0.691529E+02  -0.106800E+02   0.000000E+00   0.798329E+02  -0.159666E+03
