a0_min         a0_flood       a1_flood       a2_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.207317E+03   0.799554E+01   0.196840E+01  -0.148314E+01   0.702474E-02   0.830628E+01   0.114625E+02   0.101125E+02   0.920103E+01   0.718698E+02
   0.219254E+03   0.799554E+01   0.181882E+01  -0.158848E+01   0.702474E-02   0.809315E+01   0.114625E+02   0.101498E+02   0.943972E+01   0.717166E+02
   0.224628E+03   0.816897E+01   0.181882E+01  -0.141007E+01   0.538558E-02   0.809315E+01   0.114625E+02   0.101498E+02   0.838956E+01   0.719489E+02
   0.241527E+03   0.861953E+01   0.175371E+01  -0.108085E+01   0.672768E-02   0.833275E+01   0.116289E+02   0.933273E+01   0.825991E+01   0.713048E+02
   0.249707E+03   0.969508E+01   0.169231E+01  -0.113196E+01   0.893971E-02   0.975761E+01   0.101353E+02   0.933273E+01   0.934383E+01   0.711949E+02
   0.249707E+03   0.104030E+02   0.160005E+01  -0.119951E+01   0.741058E-02   0.975761E+01   0.933708E+01   0.881992E+01   0.912746E+01   0.716229E+02
   0.236599E+03   0.130793E+02   0.173724E+01  -0.134262E+01   0.741058E-02   0.955119E+01   0.938071E+01   0.962088E+01   0.981487E+01   0.717110E+02
   0.235080E+03   0.119316E+02   0.177849E+01  -0.119428E+01   0.998370E-02   0.102552E+02   0.938071E+01   0.116381E+02   0.985078E+01   0.703178E+02
   0.218841E+03   0.122992E+02   0.188930E+01  -0.125412E+01   0.903723E-02   0.120462E+02   0.852333E+01   0.113689E+02   0.985078E+01   0.703042E+02
   0.204278E+03   0.144787E+02   0.159734E+01  -0.117321E+01   0.923609E-02   0.120462E+02   0.875797E+01   0.114881E+02   0.879130E+01   0.702666E+02
   0.206352E+03   0.146664E+02   0.133694E+01  -0.136272E+01   0.813788E-02   0.132668E+02   0.100274E+02   0.107942E+02   0.777794E+01   0.698792E+02
   0.203564E+03   0.148458E+02   0.146981E+01  -0.113548E+01   0.715446E-02   0.138643E+02   0.102559E+02   0.120085E+02   0.802823E+01   0.695546E+02
   0.207039E+03   0.148458E+02   0.169837E+01  -0.996329E+00   0.526746E-02   0.138907E+02   0.104033E+02   0.121979E+02   0.802823E+01   0.699220E+02
   0.213485E+03   0.147536E+02   0.190336E+01  -0.115956E+01   0.526746E-02   0.141467E+02   0.913599E+01   0.115422E+02   0.802823E+01   0.699518E+02
   0.224812E+03   0.136250E+02   0.148158E+01  -0.112888E+01   0.526746E-02   0.141491E+02   0.106444E+02   0.102864E+02   0.976135E+01   0.705267E+02
   0.235027E+03   0.123958E+02   0.172367E+01  -0.118884E+01   0.526746E-02   0.124180E+02   0.110708E+02   0.858470E+01   0.100984E+02   0.712043E+02
   0.219024E+03   0.126697E+02   0.172751E+01  -0.172774E+01   0.229723E-02   0.107427E+02   0.110708E+02   0.843711E+01   0.110649E+02   0.724648E+02
   0.213674E+03   0.102773E+02   0.180961E+01  -0.156740E+01   0.226040E-02   0.107427E+02   0.884819E+01   0.874032E+01   0.121740E+02   0.725251E+02
   0.223849E+03   0.102773E+02   0.177131E+01  -0.181375E+01   0.345537E-02   0.118104E+02   0.108504E+02   0.878681E+01   0.126592E+02   0.714943E+02
   0.210719E+03   0.104324E+02   0.175256E+01  -0.171310E+01   0.512819E-02   0.107522E+02   0.121576E+02   0.789553E+01   0.148228E+02   0.693651E+02
   0.210719E+03   0.113749E+02   0.141908E+01  -0.150318E+01   0.319151E-02   0.113867E+02   0.961743E+01   0.789553E+01   0.145303E+02   0.704595E+02
   0.200050E+03   0.109652E+02   0.153313E+01  -0.164798E+01   0.271621E-02   0.102270E+02   0.100546E+02   0.757773E+01   0.119811E+02   0.722254E+02
   0.200050E+03   0.128866E+02   0.144713E+01  -0.178115E+01   0.463139E-02   0.108010E+02   0.100546E+02   0.721189E+01   0.122034E+02   0.712406E+02
   0.198376E+03   0.111120E+02   0.136802E+01  -0.152933E+01   0.295168E-02   0.105027E+02   0.104438E+02   0.721189E+01   0.969238E+01   0.723758E+02
   0.212214E+03   0.126365E+02   0.119346E+01  -0.168594E+01   0.295168E-02   0.889466E+01   0.108105E+02   0.709338E+01   0.871125E+01   0.718793E+02
   0.217969E+03   0.156741E+02   0.666605E+00  -0.168687E+01   0.295168E-02   0.891572E+01   0.111264E+02   0.774658E+01   0.871125E+01   0.721077E+02
   0.219683E+03   0.138557E+02   0.742935E+00  -0.184024E+01   0.650005E-02   0.831585E+01   0.120229E+02   0.902357E+01   0.871125E+01   0.713405E+02
   0.203791E+03   0.174472E+02   0.937768E+00  -0.168827E+01   0.430259E-02   0.773661E+01   0.105402E+02   0.905123E+01   0.871125E+01   0.721551E+02
   0.203378E+03   0.197445E+02   0.106221E+01  -0.157081E+01   0.284676E-02   0.731212E+01   0.105396E+02   0.938025E+01   0.871125E+01   0.719631E+02
   0.198425E+03   0.186102E+02   0.699975E+00  -0.212795E+01   0.530961E-03   0.731212E+01   0.109694E+02   0.940726E+01   0.892810E+01   0.723087E+02
   0.191185E+03   0.137737E+02   0.147538E+01  -0.187587E+01   0.530961E-03   0.731212E+01   0.109694E+02   0.989091E+01   0.941885E+01   0.726115E+02
   0.179682E+03   0.146971E+02   0.151559E+01  -0.187388E+01   0.530961E-03   0.701841E+01   0.106954E+02   0.976358E+01   0.104614E+02   0.723420E+02
   0.185272E+03   0.123027E+02   0.150256E+01  -0.167226E+01   0.530961E-03   0.925780E+01   0.106954E+02   0.988013E+01   0.108662E+02   0.734644E+02
   0.172623E+03   0.141026E+02   0.154860E+01  -0.187293E+01   0.530961E-03   0.107882E+02   0.106954E+02   0.974894E+01   0.109852E+02   0.732457E+02
   0.164537E+03   0.110556E+02   0.199938E+01  -0.168068E+01   0.400947E-04   0.118179E+02   0.109029E+02   0.781178E+01   0.135340E+02   0.708050E+02
   0.156441E+03   0.110556E+02   0.196642E+01  -0.184788E+01   0.862008E-03   0.117740E+02   0.122489E+02   0.912781E+01   0.131510E+02   0.706867E+02
   0.156246E+03   0.975460E+01   0.199336E+01  -0.152732E+01   0.374470E-02   0.120301E+02   0.122171E+02   0.980703E+01   0.130758E+02   0.701680E+02
   0.156246E+03   0.123610E+02   0.209155E+01  -0.130414E+01   0.476917E-02   0.127167E+02   0.137002E+02   0.120628E+02   0.130758E+02   0.685279E+02
   0.161350E+03   0.161607E+02   0.222168E+01  -0.136899E+01   0.476917E-02   0.125313E+02   0.137761E+02   0.109848E+02   0.130758E+02   0.693218E+02
   0.150371E+03   0.198002E+02   0.203887E+01  -0.142166E+01   0.186581E-02   0.134338E+02   0.139055E+02   0.101429E+02   0.128827E+02   0.694865E+02
   0.139843E+03   0.186022E+02   0.182527E+01  -0.136558E+01   0.112079E-02   0.123069E+02   0.117733E+02   0.105832E+02   0.129551E+02   0.709131E+02
   0.127881E+03   0.188135E+02   0.156355E+01  -0.143997E+01   0.112079E-02   0.114885E+02   0.137227E+02   0.894694E+01   0.134567E+02   0.692977E+02
   0.125885E+03   0.177667E+02   0.139953E+01  -0.126127E+01   0.170392E-02   0.111938E+02   0.137892E+02   0.854077E+01   0.128988E+02   0.692231E+02
   0.125885E+03   0.185233E+02   0.146588E+01  -0.125121E+01   0.170392E-02   0.103980E+02   0.149094E+02   0.938281E+01   0.109864E+02   0.698282E+02
   0.125885E+03   0.281792E+02   0.149773E+01  -0.130299E+01   0.170392E-02   0.962984E+01   0.177154E+02   0.974705E+01   0.118474E+02   0.682709E+02
   0.123730E+03   0.309258E+02   0.147300E+01  -0.173598E+01   0.131106E-02   0.962984E+01   0.175076E+02   0.924381E+01   0.118474E+02   0.684884E+02
   0.128539E+03   0.333655E+02   0.120520E+01  -0.135272E+01   0.131106E-02   0.100454E+02   0.175076E+02   0.888485E+01   0.110140E+02   0.689325E+02
   0.123074E+03   0.325439E+02   0.122320E+01  -0.146194E+01   0.131106E-02   0.984169E+01   0.168749E+02   0.879650E+01   0.110140E+02   0.693132E+02
   0.134113E+03   0.343936E+02   0.139490E+01  -0.155568E+01   0.381516E-02   0.857449E+01   0.170155E+02   0.879650E+01   0.996480E+01   0.691237E+02
   0.125972E+03   0.353959E+02   0.152311E+01  -0.187718E+01   0.780719E-02   0.837258E+01   0.180797E+02   0.814785E+01   0.119843E+02   0.660611E+02
   0.125972E+03   0.340341E+02   0.161895E+01  -0.187718E+01   0.582892E-02   0.901289E+01   0.180797E+02   0.721349E+01   0.115224E+02   0.663971E+02
   0.153815E+03   0.302083E+02   0.181507E+01  -0.210395E+01   0.920988E-02   0.931571E+01   0.187568E+02   0.721349E+01   0.113239E+02   0.646876E+02
   0.143646E+03   0.275293E+02   0.149271E+01  -0.213830E+01   0.332048E-02   0.930463E+01   0.187568E+02   0.638716E+01   0.118041E+02   0.653014E+02
   0.137482E+03   0.341365E+02   0.169823E+01  -0.229821E+01   0.332048E-02   0.997023E+01   0.157817E+02   0.638716E+01   0.124462E+02   0.675279E+02
   0.157095E+03   0.391557E+02   0.126323E+01  -0.258680E+01   0.136074E-02   0.107666E+02   0.157817E+02   0.628954E+01   0.110032E+02   0.677133E+02
   0.152693E+03   0.450277E+02   0.151823E+01  -0.242784E+01   0.236071E-02   0.107131E+02   0.161171E+02   0.656908E+01   0.835308E+01   0.676710E+02
   0.143054E+03   0.491392E+02   0.168672E+01  -0.195205E+01   0.889168E-03   0.104878E+02   0.150610E+02   0.700528E+01   0.796059E+01   0.691529E+02
