a0_min_r_1     a0_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.113447E+03   0.399974E+02   0.771399E-04   0.789754E+01   0.103403E+02   0.177660E+02   0.146548E+02   0.497011E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.842141E+01   0.965753E+01   0.171158E+02   0.140481E+02   0.502044E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.890166E+01   0.965753E+01   0.171158E+02   0.141952E+02   0.503540E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.890166E+01   0.835671E+01   0.171448E+02   0.139182E+02   0.500914E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.922514E+01   0.871838E+01   0.190057E+02   0.139182E+02   0.496889E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.854463E+01   0.963445E+01   0.165628E+02   0.143310E+02   0.503854E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.854463E+01   0.885933E+01   0.133699E+02   0.141374E+02   0.504705E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.932623E+01   0.885933E+01   0.123909E+02   0.141374E+02   0.504164E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.919495E+01   0.964895E+01   0.139610E+02   0.121402E+02   0.503950E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.938599E+01   0.825992E+01   0.161348E+02   0.104355E+02   0.490450E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.802770E+01   0.883296E+01   0.158187E+02   0.104355E+02   0.488965E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.806877E+01   0.909553E+01   0.167053E+02   0.105222E+02   0.488717E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.806877E+01   0.960538E+01   0.167053E+02   0.114340E+02   0.494764E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.771072E+01   0.960538E+01   0.174434E+02   0.118293E+02   0.492518E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.834219E+01   0.104302E+02   0.159467E+02   0.119367E+02   0.498941E+02
   0.113447E+03   0.399974E+02   0.771399E-04   0.101157E+02   0.104302E+02   0.148724E+02   0.157224E+02   0.505752E+02
   0.112377E+03   0.399974E+02   0.771399E-04   0.965696E+01   0.123573E+02   0.154152E+02   0.146757E+02   0.497013E+02
   0.112377E+03   0.399974E+02   0.771399E-04   0.104115E+02   0.115703E+02   0.180159E+02   0.143351E+02   0.494185E+02
   0.112966E+03   0.399974E+02   0.771399E-04   0.102444E+02   0.111877E+02   0.183562E+02   0.155589E+02   0.498479E+02
   0.112966E+03   0.399974E+02   0.771399E-04   0.102444E+02   0.110808E+02   0.191415E+02   0.155589E+02   0.496080E+02
   0.112966E+03   0.399974E+02   0.771399E-04   0.100520E+02   0.961462E+01   0.176365E+02   0.146173E+02   0.504562E+02
   0.112966E+03   0.399974E+02   0.771399E-04   0.844620E+01   0.100597E+02   0.177459E+02   0.150997E+02   0.501914E+02
   0.112966E+03   0.399974E+02   0.771399E-04   0.844620E+01   0.100578E+02   0.170933E+02   0.120498E+02   0.499956E+02
   0.112966E+03   0.399974E+02   0.771399E-04   0.984252E+01   0.929452E+01   0.154213E+02   0.115899E+02   0.503219E+02
   0.113699E+03   0.399974E+02   0.771399E-04   0.948193E+01   0.995184E+01   0.157983E+02   0.135934E+02   0.503382E+02
   0.113699E+03   0.399974E+02   0.771399E-04   0.107390E+02   0.107172E+02   0.147605E+02   0.136370E+02   0.501546E+02
   0.113699E+03   0.399974E+02   0.771399E-04   0.107390E+02   0.117091E+02   0.145745E+02   0.126898E+02   0.496562E+02
   0.113800E+03   0.399974E+02   0.771399E-04   0.114359E+02   0.105743E+02   0.143520E+02   0.124279E+02   0.495801E+02
   0.113800E+03   0.399974E+02   0.199896E-03   0.127587E+02   0.103347E+02   0.167172E+02   0.124279E+02   0.485112E+02
   0.113800E+03   0.399974E+02   0.199896E-03   0.139278E+02   0.108618E+02   0.170150E+02   0.120175E+02   0.474640E+02
   0.113800E+03   0.399974E+02   0.199896E-03   0.121675E+02   0.109531E+02   0.170467E+02   0.120175E+02   0.484557E+02
   0.113800E+03   0.399974E+02   0.199896E-03   0.120051E+02   0.120163E+02   0.161639E+02   0.120175E+02   0.483099E+02
   0.113800E+03   0.399974E+02   0.172776E-03   0.120051E+02   0.957136E+01   0.166642E+02   0.138475E+02   0.492961E+02
   0.113800E+03   0.399974E+02   0.172776E-03   0.130663E+02   0.107048E+02   0.143545E+02   0.138475E+02   0.488522E+02
   0.113800E+03   0.399974E+02   0.172776E-03   0.116221E+02   0.107565E+02   0.141999E+02   0.146778E+02   0.495809E+02
   0.113800E+03   0.399974E+02   0.172776E-03   0.106417E+02   0.131365E+02   0.141999E+02   0.151491E+02   0.488125E+02
   0.113800E+03   0.399974E+02   0.172776E-03   0.998211E+01   0.116688E+02   0.127829E+02   0.150132E+02   0.495090E+02
   0.113800E+03   0.399974E+02   0.172776E-03   0.979364E+01   0.125628E+02   0.129741E+02   0.142115E+02   0.491560E+02
   0.113800E+03   0.388178E+02   0.172776E-03   0.979364E+01   0.132256E+02   0.150340E+02   0.134916E+02   0.493836E+02
   0.113800E+03   0.388178E+02   0.172776E-03   0.104296E+02   0.131656E+02   0.114685E+02   0.138429E+02   0.487442E+02
   0.113800E+03   0.388178E+02   0.172776E-03   0.101015E+02   0.135937E+02   0.114685E+02   0.138429E+02   0.485322E+02
   0.113800E+03   0.388178E+02   0.172776E-03   0.987326E+01   0.112458E+02   0.114685E+02   0.144480E+02   0.497700E+02
   0.113800E+03   0.388178E+02   0.172776E-03   0.108858E+02   0.834806E+01   0.114608E+02   0.120427E+02   0.492402E+02
   0.113800E+03   0.388178E+02   0.172776E-03   0.108858E+02   0.969614E+01   0.131637E+02   0.107535E+02   0.493712E+02
   0.113800E+03   0.388178E+02   0.172776E-03   0.108858E+02   0.937937E+01   0.140625E+02   0.107535E+02   0.494600E+02
   0.113800E+03   0.388178E+02   0.172776E-03   0.100801E+02   0.874220E+01   0.116161E+02   0.107992E+02   0.489789E+02
   0.113800E+03   0.384794E+02   0.172776E-03   0.107645E+02   0.938821E+01   0.108154E+02   0.100988E+02   0.477647E+02
   0.113793E+03   0.384794E+02   0.172776E-03   0.121600E+02   0.938821E+01   0.955243E+01   0.118323E+02   0.472337E+02
   0.113793E+03   0.384794E+02   0.172776E-03   0.120135E+02   0.875993E+01   0.955243E+01   0.110577E+02   0.468121E+02
   0.113793E+03   0.384794E+02   0.172776E-03   0.118100E+02   0.938555E+01   0.103504E+02   0.118674E+02   0.481538E+02
   0.113793E+03   0.407690E+02   0.172776E-03   0.118209E+02   0.938555E+01   0.986584E+01   0.114154E+02   0.458766E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.110228E+02   0.931391E+01   0.115293E+02   0.114154E+02   0.492345E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.106279E+02   0.985952E+01   0.142643E+02   0.133472E+02   0.505735E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.106279E+02   0.877535E+01   0.159680E+02   0.119059E+02   0.499666E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.104479E+02   0.990802E+01   0.163105E+02   0.119059E+02   0.500369E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.124163E+02   0.955425E+01   0.176354E+02   0.119059E+02   0.489963E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.119950E+02   0.953288E+01   0.169849E+02   0.121282E+02   0.494584E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.119600E+02   0.102800E+02   0.168608E+02   0.121282E+02   0.494476E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.123356E+02   0.110353E+02   0.193080E+02   0.158502E+02   0.485813E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.123356E+02   0.106786E+02   0.155951E+02   0.129776E+02   0.496487E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.109675E+02   0.105492E+02   0.158525E+02   0.127781E+02   0.501615E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.100414E+02   0.103368E+02   0.141153E+02   0.127781E+02   0.505065E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.120918E+02   0.110758E+02   0.138785E+02   0.127781E+02   0.496717E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.126699E+02   0.122251E+02   0.125281E+02   0.159946E+02   0.487210E+02
   0.112386E+03   0.407690E+02   0.172776E-03   0.137196E+02   0.122669E+02   0.119934E+02   0.162120E+02   0.478566E+02
