a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100772E+03  0.276868E+01  0.444128E+01 -0.172696E+00  0.396249E-03  0.216796E-03  0.250135E-03  0.119476E-02  0.191816E+03
  0.100772E+03  0.276868E+01  0.444128E+01 -0.172696E+00  0.396249E-03  0.216796E-03  0.250135E-03  0.119476E-02  0.191816E+03
  0.101435E+03  0.276868E+01  0.444128E+01  0.101961E+01  0.396249E-03  0.216796E-03  0.250135E-03  0.147926E-02  0.191867E+03
  0.101435E+03  0.276868E+01  0.780589E+00  0.101961E+01  0.396249E-03  0.216796E-03  0.250135E-03  0.147926E-02  0.191819E+03
  0.101435E+03  0.331216E+01  0.742449E+01  0.123813E+02  0.396249E-03  0.216796E-03  0.250135E-03  0.147926E-02  0.190577E+03
  0.101435E+03  0.581503E+01  0.108988E+02  0.123813E+02  0.396249E-03  0.216796E-03  0.250135E-03  0.147926E-02  0.189671E+03
  0.101699E+03  0.728961E+01  0.108988E+02  0.123813E+02  0.396249E-03  0.771228E-04  0.250135E-03  0.147926E-02  0.190157E+03
  0.101773E+03  0.728961E+01  0.108988E+02  0.582400E+01  0.396249E-03  0.771228E-04  0.250135E-03  0.147926E-02  0.189214E+03
  0.101773E+03  0.728961E+01  0.114039E+02  0.167562E+02  0.396249E-03  0.771228E-04  0.250135E-03  0.147926E-02  0.189664E+03
  0.101773E+03  0.728961E+01  0.801773E+01  0.167562E+02  0.396249E-03  0.771228E-04  0.250135E-03  0.147926E-02  0.190882E+03
  0.102932E+03  0.728961E+01  0.309752E+01  0.192558E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.147926E-02  0.187190E+03
  0.102932E+03  0.728961E+01  0.958266E+01  0.192558E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.147926E-02  0.189633E+03
  0.102932E+03  0.728961E+01  0.958266E+01  0.192558E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.147926E-02  0.189633E+03
  0.102932E+03  0.728961E+01  0.958266E+01  0.192558E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.147926E-02  0.189633E+03
  0.102932E+03  0.728961E+01  0.100527E+02  0.183185E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.147926E-02  0.189747E+03
  0.102932E+03  0.728961E+01  0.100527E+02  0.183185E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.147926E-02  0.189747E+03
  0.102932E+03  0.728961E+01  0.100527E+02  0.174951E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.147926E-02  0.189790E+03
  0.102932E+03  0.834288E+01  0.100527E+02  0.174951E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.147926E-02  0.189657E+03
  0.102932E+03  0.834288E+01  0.100527E+02  0.216749E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.123117E-02  0.189766E+03
  0.102932E+03  0.102782E+02  0.117728E+02  0.216749E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.123117E-02  0.189561E+03
  0.102932E+03  0.102782E+02  0.117728E+02  0.262948E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.123117E-02  0.188925E+03
  0.102932E+03  0.102782E+02  0.942651E+01  0.212790E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.127115E-02  0.189185E+03
  0.102932E+03  0.104696E+02  0.125846E+02  0.212790E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.127115E-02  0.189451E+03
  0.102932E+03  0.104696E+02  0.125846E+02  0.212790E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.127115E-02  0.189451E+03
  0.102932E+03  0.104696E+02  0.125846E+02  0.179775E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.127115E-02  0.189278E+03
  0.103158E+03  0.104696E+02  0.121711E+02  0.249390E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.127115E-02  0.189005E+03
  0.103158E+03  0.104637E+02  0.121711E+02  0.197461E+02  0.396249E-03  0.164475E-03  0.250135E-03  0.127115E-02  0.189119E+03
  0.103158E+03  0.104637E+02  0.121711E+02  0.197461E+02  0.396249E-03  0.274982E-03  0.250135E-03  0.127115E-02  0.188766E+03
  0.103158E+03  0.104637E+02  0.121711E+02  0.241716E+02  0.396249E-03  0.274982E-03  0.250135E-03  0.127115E-02  0.188800E+03
  0.103158E+03  0.104637E+02  0.121711E+02  0.182967E+02  0.396249E-03  0.274982E-03  0.250135E-03  0.127115E-02  0.188598E+03
