a0_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.986339E+02  0.841188E-03  0.331850E-03  0.118326E-02  0.103289E-02  0.722387E-03  0.510055E-03  0.214696E-02  0.570380E-05  0.180987E+03
  0.986339E+02  0.841188E-03  0.331850E-03  0.118326E-02  0.103289E-02  0.172014E-02  0.510055E-03  0.214696E-02  0.570380E-05  0.179565E+03
  0.986339E+02  0.841188E-03  0.331850E-03  0.118326E-02  0.103289E-02  0.172014E-02  0.510055E-03  0.214696E-02  0.570380E-05  0.179565E+03
  0.986339E+02  0.841188E-03  0.331850E-03  0.291588E-03  0.315212E-03  0.435992E-03  0.281053E-04  0.167984E-02  0.570380E-05  0.181107E+03
  0.986339E+02  0.841188E-03  0.331850E-03  0.291588E-03  0.315212E-03  0.435992E-03  0.281053E-04  0.167984E-02  0.570380E-05  0.181107E+03
  0.986339E+02  0.785538E-03  0.331850E-03  0.291588E-03  0.315212E-03  0.435992E-03  0.281053E-04  0.167984E-02  0.570380E-05  0.181207E+03
  0.986339E+02  0.785538E-03  0.526886E-03  0.291588E-03  0.315212E-03  0.435992E-03  0.719553E-04  0.715864E-04  0.570380E-05  0.183130E+03
  0.101112E+03  0.785538E-03  0.542249E-04  0.291588E-03  0.315212E-03  0.435992E-03  0.719553E-04  0.715864E-04  0.570380E-05  0.182567E+03
  0.101112E+03  0.785538E-03  0.542249E-04  0.291588E-03  0.315212E-03  0.435992E-03  0.719553E-04  0.715864E-04  0.570380E-05  0.182567E+03
  0.101112E+03  0.785538E-03  0.542249E-04  0.291588E-03  0.315212E-03  0.334160E-03  0.719553E-04  0.715864E-04  0.570380E-05  0.182506E+03
  0.101112E+03  0.785538E-03  0.542249E-04  0.291588E-03  0.315212E-03  0.334160E-03  0.719553E-04  0.218530E-02  0.570380E-05  0.179315E+03
  0.101112E+03  0.785538E-03  0.542249E-04  0.291588E-03  0.315212E-03  0.334160E-03  0.719553E-04  0.218530E-02  0.570380E-05  0.179315E+03
  0.101112E+03  0.785538E-03  0.542249E-04  0.291588E-03  0.315212E-03  0.142351E-02  0.719553E-04  0.598872E-02  0.570380E-05  0.173967E+03
  0.101112E+03  0.785538E-03  0.542249E-04  0.291588E-03  0.315212E-03  0.142351E-02  0.261607E-04  0.598872E-02  0.570380E-05  0.173867E+03
  0.101112E+03  0.785538E-03  0.175424E-02  0.291588E-03  0.315212E-03  0.142351E-02  0.261607E-04  0.598872E-02  0.570380E-05  0.171809E+03
  0.101112E+03  0.785538E-03  0.175424E-02  0.291588E-03  0.315212E-03  0.142351E-02  0.214713E-02  0.340232E-02  0.570380E-05  0.174112E+03
  0.999205E+02  0.785538E-03  0.175424E-02  0.291588E-03  0.315212E-03  0.142351E-02  0.214713E-02  0.340232E-02  0.570380E-05  0.175509E+03
