a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.101468E+03   0.202231E+01  -0.756939E+01  -0.166663E+02  -0.629576E+01   0.109422E-03   0.554967E-04   0.519877E-03   0.910055E-03   0.214483E+03
   0.101605E+03  -0.296516E+00  -0.416666E+01  -0.161887E+02  -0.770466E+00   0.109422E-03   0.554967E-04   0.519877E-03   0.910055E-03   0.215474E+03
   0.101019E+03  -0.371409E+01  -0.416666E+01  -0.799695E+01   0.750981E+01   0.109422E-03   0.554967E-04   0.519877E-03   0.910055E-03   0.213682E+03
   0.101019E+03  -0.457630E+01  -0.416666E+01  -0.125528E+02   0.126444E+02   0.109422E-03   0.554967E-04   0.519877E-03   0.686516E-03   0.211499E+03
   0.101019E+03  -0.516534E+01  -0.416666E+01  -0.740276E+01   0.476304E+01   0.109422E-03   0.554967E-04   0.519877E-03   0.127739E-02   0.211533E+03
   0.101019E+03   0.156262E+00  -0.416666E+01  -0.457180E+01   0.173517E+02   0.109422E-03   0.554967E-04   0.519877E-03   0.127739E-02   0.212940E+03
   0.101019E+03  -0.392486E+01  -0.416666E+01  -0.457180E+01   0.164768E+02   0.109422E-03   0.554967E-04   0.519877E-03   0.127739E-02   0.210317E+03
   0.101019E+03   0.621823E+00  -0.416666E+01  -0.391494E+01   0.253800E+01   0.109422E-03   0.554967E-04   0.543067E-04   0.127739E-02   0.218317E+03
   0.101019E+03   0.621823E+00  -0.378456E+00   0.990070E+01   0.253800E+01   0.109422E-03   0.554967E-04   0.543067E-04   0.127739E-02   0.215399E+03
   0.101019E+03   0.621823E+00  -0.265627E+01  -0.207633E+01   0.109576E+02   0.109422E-03   0.554967E-04   0.543067E-04   0.112530E-02   0.217288E+03
   0.101019E+03   0.621823E+00  -0.408785E+01  -0.379220E-01  -0.169602E+01   0.109422E-03   0.714064E-04   0.591794E-04   0.112530E-02   0.218411E+03
   0.101019E+03   0.621823E+00  -0.709669E+00   0.983742E+00   0.946758E+01   0.109422E-03   0.714064E-04   0.591794E-04   0.112530E-02   0.217711E+03
   0.100285E+03   0.621823E+00  -0.709669E+00   0.983742E+00   0.946758E+01   0.109422E-03   0.163160E-03   0.591794E-04   0.407991E-02   0.208338E+03
   0.100285E+03   0.621823E+00  -0.882516E+01  -0.420166E+00   0.946758E+01   0.109422E-03   0.163160E-03   0.591794E-04   0.407991E-02   0.206758E+03
   0.100285E+03   0.300700E+00  -0.106237E+02   0.117933E+01   0.713643E+01   0.109422E-03   0.820407E-04   0.591794E-04   0.407991E-02   0.206339E+03
   0.100285E+03  -0.222446E+01   0.195550E-01  -0.225000E+01  -0.767769E+01   0.109422E-03   0.820407E-04   0.591794E-04   0.116083E-02   0.215917E+03
   0.100285E+03  -0.222446E+01  -0.613672E+01  -0.225000E+01   0.756499E+01   0.109422E-03   0.820407E-04   0.591794E-04   0.116083E-02   0.215170E+03
   0.100285E+03  -0.222446E+01  -0.619356E+01  -0.921213E+01  -0.535470E+01   0.109422E-03   0.820407E-04   0.153376E-03   0.116083E-02   0.216363E+03
   0.100285E+03  -0.222446E+01  -0.551191E+01  -0.367853E+01   0.217344E+01   0.143287E-04   0.820407E-04   0.153376E-03   0.116083E-02   0.216504E+03
   0.100285E+03  -0.222446E+01  -0.499741E+01  -0.367853E+01   0.217344E+01   0.143287E-04   0.820407E-04   0.153376E-03   0.116083E-02   0.216610E+03
   0.100285E+03  -0.222446E+01  -0.499741E+01  -0.352692E+01   0.297266E+01   0.143287E-04   0.820407E-04   0.153376E-03   0.116083E-02   0.216485E+03
   0.100285E+03  -0.222446E+01   0.175584E+00  -0.101826E+02   0.297266E+01   0.143287E-04   0.857705E-04   0.153376E-03   0.116083E-02   0.216349E+03
   0.100285E+03  -0.257058E+01   0.175584E+00  -0.117911E+02   0.297266E+01   0.143287E-04   0.857705E-04   0.153376E-03   0.752022E-03   0.216260E+03
   0.100285E+03  -0.257058E+01  -0.336307E+01  -0.125483E+02   0.297266E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.752022E-03   0.216216E+03
   0.100285E+03  -0.257058E+01   0.409284E+01  -0.711840E+01   0.297266E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.752022E-03   0.215273E+03
   0.100285E+03  -0.177599E+01   0.409284E+01  -0.683237E+01   0.782125E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.752022E-03   0.215362E+03
   0.100285E+03  -0.177599E+01  -0.205846E+01  -0.683237E+01   0.782125E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.981585E-03   0.216698E+03
   0.100285E+03  -0.177599E+01   0.318256E+00  -0.103219E+02  -0.990694E+00   0.146926E-03   0.857705E-04   0.153376E-03   0.981585E-03   0.216859E+03
   0.100285E+03  -0.718042E+00  -0.668901E+01  -0.131525E+02  -0.267624E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.981585E-03   0.216612E+03
   0.100285E+03  -0.718042E+00  -0.668901E+01  -0.877596E+01  -0.221229E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.981585E-03   0.217782E+03
   0.100285E+03  -0.718042E+00  -0.668901E+01  -0.257726E+01  -0.643165E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.981585E-03   0.217775E+03
   0.100285E+03  -0.718042E+00  -0.668901E+01  -0.257726E+01  -0.406590E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.981585E-03   0.217735E+03
   0.100285E+03  -0.718042E+00  -0.668901E+01  -0.257726E+01  -0.406590E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.981585E-03   0.217735E+03
   0.100285E+03  -0.718042E+00  -0.668901E+01  -0.122503E+02  -0.406590E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.981585E-03   0.216816E+03
   0.100285E+03  -0.211223E+00  -0.668901E+01  -0.690157E-01  -0.160505E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.144425E-02   0.216615E+03
   0.100285E+03  -0.211223E+00  -0.668901E+01  -0.690157E-01  -0.160505E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.809451E-03   0.217305E+03
   0.100285E+03   0.196453E+01   0.146193E+01  -0.690157E-01  -0.411489E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.809451E-03   0.217627E+03
   0.100285E+03   0.196453E+01  -0.436113E+01   0.321317E+01  -0.411489E+01   0.215582E-03   0.186731E-03   0.153376E-03   0.522250E-03   0.215478E+03
   0.100285E+03   0.196453E+01  -0.436113E+01  -0.120297E+02  -0.447849E+01   0.215582E-03   0.186731E-03   0.153376E-03   0.522250E-03   0.214706E+03
   0.100795E+03   0.196453E+01  -0.529672E+01   0.366460E+01  -0.139268E+02   0.215582E-03   0.186731E-03   0.153376E-03   0.522250E-03   0.213624E+03
   0.100795E+03   0.196453E+01  -0.279819E+01   0.558501E+01  -0.715447E+01   0.215582E-03   0.186731E-03   0.153376E-03   0.522250E-03   0.214348E+03
   0.100795E+03   0.196453E+01   0.319762E+01  -0.250628E+01  -0.715447E+01   0.215582E-03   0.186731E-03   0.153376E-03   0.211530E-02   0.213766E+03
   0.100201E+03   0.118663E+01  -0.466731E+01  -0.598111E+01  -0.955206E+01   0.215582E-03   0.186731E-03   0.243708E-03   0.211530E-02   0.214243E+03
   0.100201E+03   0.118663E+01  -0.289832E+01  -0.794967E+01  -0.323682E+01   0.215582E-03   0.186731E-03   0.243708E-03   0.211530E-02   0.214030E+03
   0.100201E+03   0.118663E+01  -0.425537E+00  -0.794967E+01  -0.520765E+01   0.215582E-03   0.186731E-03   0.243708E-03   0.105009E-02   0.216675E+03
