a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100455E+03  0.135709E+00 -0.884669E+00 -0.100650E+01 -0.939435E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.214691E+03
  0.100455E+03  0.135709E+00 -0.884669E+00 -0.100650E+01 -0.939435E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.214691E+03
  0.100455E+03  0.135709E+00 -0.112164E+02 -0.100650E+01 -0.939435E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.213258E+03
  0.100455E+03  0.135709E+00 -0.682016E+01 -0.798932E+01 -0.110666E+02  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.214657E+03
  0.100455E+03  0.135709E+00 -0.122840E+02 -0.798932E+01 -0.918186E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.212740E+03
  0.100455E+03  0.135709E+00 -0.590473E+01 -0.101585E+02 -0.918186E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.214625E+03
  0.100455E+03  0.135709E+00 -0.525362E+01 -0.101585E+02 -0.918186E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.214664E+03
  0.100455E+03  0.228089E+01 -0.525362E+01 -0.101585E+02 -0.142790E+02  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.213520E+03
  0.100455E+03  0.228089E+01 -0.525362E+01 -0.329912E+01 -0.214343E+02  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.212644E+03
  0.100455E+03  0.228089E+01 -0.525362E+01 -0.329912E+01 -0.101328E+02  0.155852E-03  0.310909E-03  0.153542E-03  0.194676E-02  0.215110E+03
  0.100455E+03  0.130918E+01 -0.494533E+00 -0.329912E+01 -0.377282E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.217885E+03
  0.100455E+03  0.130918E+01 -0.494533E+00  0.904830E+01 -0.377282E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.215733E+03
  0.101118E+03  0.423325E+01  0.185186E+01  0.904830E+01 -0.143676E+02  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.214045E+03
  0.101118E+03  0.572558E+00  0.185186E+01  0.904830E+01 -0.143676E+02  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.213515E+03
  0.101661E+03  0.721645E+01  0.185186E+01  0.577022E+01 -0.839193E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.212477E+03
  0.101661E+03  0.721645E+01  0.880966E+01 -0.519758E+00 -0.812806E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.209775E+03
  0.101661E+03  0.608908E+01  0.306933E+01 -0.445248E+00 -0.556851E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.213333E+03
  0.100313E+03  0.450175E+01 -0.213859E+01 -0.445248E+00 -0.506334E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216315E+03
  0.100313E+03  0.450175E+01 -0.213859E+01  0.504143E+00  0.459864E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.215488E+03
  0.100313E+03  0.450175E+01 -0.213859E+01  0.125876E+01  0.477334E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.215545E+03
