a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.100546E+03   0.115798E+01  -0.200585E+01  -0.393892E+01   0.229969E-03   0.191117E-03   0.346507E-03   0.115949E-02   0.217267E+03
   0.100546E+03   0.115798E+01  -0.200585E+01  -0.393892E+01   0.229969E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.217258E+03
   0.100546E+03  -0.819858E+00  -0.311620E+01  -0.393892E+01   0.103809E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.217017E+03
   0.100685E+03  -0.819858E+00  -0.311620E+01  -0.393892E+01   0.103809E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.217126E+03
   0.100685E+03  -0.819858E+00   0.182011E+01  -0.393892E+01   0.103809E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.216571E+03
   0.100685E+03  -0.236224E+01   0.269415E+01  -0.393892E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.215198E+03
   0.100685E+03  -0.236224E+01   0.269415E+01  -0.972197E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.215353E+03
   0.100685E+03  -0.236224E+01  -0.191396E+00  -0.147977E+02   0.189973E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.215162E+03
   0.100685E+03  -0.252072E+01  -0.445556E+01  -0.175040E+02   0.189973E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.214178E+03
   0.100685E+03  -0.252072E+01  -0.329181E+01  -0.981150E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.216138E+03
   0.100685E+03  -0.252072E+01  -0.710165E+00  -0.777816E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.216125E+03
   0.100685E+03   0.338102E+01  -0.494230E+01   0.750344E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.215516E+03
   0.100685E+03   0.338102E+01  -0.798517E+00  -0.285563E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.216671E+03
   0.102371E+03  -0.513143E+00   0.642279E+01  -0.101742E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.116410E-02   0.214586E+03
   0.102371E+03   0.106528E+01   0.642279E+01  -0.101742E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.781693E-03   0.214142E+03
   0.102371E+03   0.106528E+01   0.121412E+01  -0.127339E+02   0.189973E-03   0.191117E-03   0.346507E-03   0.781693E-03   0.213882E+03
   0.996837E+02   0.106528E+01  -0.110563E+02   0.186681E+00   0.189973E-03   0.191117E-03   0.346507E-03   0.781693E-03   0.214079E+03
   0.996837E+02   0.106528E+01  -0.609445E+01   0.186681E+00   0.189973E-03   0.191117E-03   0.346507E-03   0.781693E-03   0.215833E+03
   0.996837E+02   0.106528E+01  -0.609445E+01  -0.123933E+02   0.189973E-03   0.191117E-03   0.346507E-03   0.781693E-03   0.213961E+03
   0.996837E+02   0.134226E+01  -0.687450E+01  -0.556552E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.781693E-03   0.215733E+03
