a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100312E+03  0.258547E+01  0.206874E+01  0.543579E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.152176E-02  0.191865E+03
  0.100312E+03  0.258547E+01  0.206874E+01  0.543579E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.152176E-02  0.191865E+03
  0.100312E+03  0.258547E+01  0.206874E+01  0.543579E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.152176E-02  0.191865E+03
  0.100312E+03  0.258547E+01  0.206874E+01  0.426247E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.152176E-02  0.191970E+03
  0.100312E+03  0.258547E+01  0.206874E+01  0.570226E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.152176E-02  0.191836E+03
  0.100312E+03  0.258547E+01  0.206874E+01  0.729992E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.152176E-02  0.191586E+03
  0.100312E+03  0.258547E+01 -0.563229E+01  0.729992E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.563911E-03  0.189937E+03
  0.100312E+03  0.258547E+01 -0.563229E+01  0.562763E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.826684E-03  0.192068E+03
  0.100312E+03  0.258547E+01 -0.110962E+02 -0.515219E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.826684E-03  0.189899E+03
  0.100312E+03  0.258547E+01 -0.110962E+02  0.122710E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.826684E-03  0.189645E+03
  0.100772E+03  0.258547E+01 -0.359806E+01 -0.784407E+01  0.396249E-03  0.216796E-03  0.250135E-03  0.826684E-03  0.191424E+03
  0.100772E+03  0.258547E+01 -0.359806E+01 -0.818989E+00  0.396249E-03  0.216796E-03  0.250135E-03  0.826684E-03  0.192348E+03
  0.100772E+03  0.258547E+01 -0.308669E+00 -0.818989E+00  0.396249E-03  0.216796E-03  0.250135E-03  0.826684E-03  0.192969E+03
  0.100772E+03  0.258547E+01 -0.237287E+01 -0.382674E+00  0.396249E-03  0.216796E-03  0.250135E-03  0.826684E-03  0.192678E+03
  0.100772E+03  0.258547E+01  0.504421E+01  0.819442E+01  0.396249E-03  0.216796E-03  0.250135E-03  0.826684E-03  0.192306E+03
  0.100772E+03  0.258547E+01  0.504421E+01 -0.522048E-01  0.396249E-03  0.216796E-03  0.250135E-03  0.826684E-03  0.192514E+03
  0.100772E+03  0.258547E+01  0.504421E+01 -0.522048E-01  0.396249E-03  0.216796E-03  0.250135E-03  0.826684E-03  0.192514E+03
  0.101435E+03  0.258547E+01  0.504421E+01  0.114010E+01  0.396249E-03  0.216796E-03  0.250135E-03  0.111118E-02  0.192911E+03
  0.101435E+03  0.258547E+01  0.138352E+01  0.114010E+01  0.396249E-03  0.216796E-03  0.250135E-03  0.111118E-02  0.192904E+03
  0.101435E+03  0.312896E+01  0.802742E+01  0.114010E+01  0.396249E-03  0.216796E-03  0.250135E-03  0.111118E-02  0.192116E+03
  0.101435E+03  0.563182E+01  0.802742E+01  0.114010E+01  0.396249E-03  0.216796E-03  0.250135E-03  0.111118E-02  0.190878E+03
  0.101699E+03  0.563182E+01  0.802742E+01  0.114010E+01  0.396249E-03  0.771228E-04  0.250135E-03  0.111118E-02  0.191226E+03
  0.101773E+03  0.563182E+01  0.802742E+01  0.114010E+01  0.396249E-03  0.771228E-04  0.250135E-03  0.111118E-02  0.191215E+03
  0.101773E+03  0.563182E+01  0.853258E+01  0.120723E+02  0.396249E-03  0.771228E-04  0.250135E-03  0.111118E-02  0.192522E+03
